'Elapsed time','ECG'
'0:01.470',0.035
'0:01.480',0.145
'0:01.490',0.095
'0:01.500',0.095
'0:01.510',0.185
'0:01.520',0.225
'0:01.530',0.065
'0:01.540',0.290
'0:01.550',0.375
'0:01.560',0.470
'0:01.570',0.315
'0:01.580',0.460
'0:01.590',0.560
'0:01.600',0.655
'0:01.610',0.410
'0:01.620',0.515
'0:01.630',0.470
'0:01.640',0.430
'0:01.650',0.355
'0:01.660',0.265
'0:01.670',0.070
'0:01.680',0.135
'0:01.690',0.060
'0:01.700',0.095
'0:01.710',-0.135
'0:01.720',-0.165
'0:01.730',-0.225
'0:01.740',-0.150
'0:01.750',-0.240
'0:01.760',-0.205
'0:01.770',-0.190
'0:01.780',-0.200
'0:01.790',-0.240
'0:01.800',-0.115
'0:01.810',-0.265
'0:01.820',-0.165
'0:01.830',-0.105
'0:01.840',-0.035
'0:01.850',-0.150
'0:01.860',-0.035
'0:01.870',-0.070
'0:01.880',-0.020
'0:01.890',-0.190
'0:01.900',-0.060
'0:01.910',-0.075
'0:01.920',-0.040
'0:01.930',-0.105
'0:01.940',-0.030
'0:01.950',-0.165
'0:01.960',-0.055
'0:01.970',-0.065
'0:01.980',-0.020
'0:01.990',-0.085
'0:02.000',-0.065
'0:02.010',-0.100
'0:02.020',0.015
'0:02.030',-0.020
'0:02.040',0.150
'0:02.050',0.135
'0:02.060',0.245
'0:02.070',0.055
'0:02.080',0.030
'0:02.090',0.005
'0:02.100',-0.005
'0:02.110',-0.180
'0:02.120',-0.140
'0:02.130',-0.250
'0:02.140',-0.180
'0:02.150',-0.075
'0:02.160',0.020
'0:02.170',-0.200
'0:02.180',-0.120
'0:02.190',-0.100
'0:02.200',0.560
'0:02.210',2.420
'0:02.220',3.140
'0:02.230',0.675
'0:02.240',-1.475
'0:02.250',-2.100
'0:02.260',-1.425
'0:02.270',-0.625
'0:02.280',-0.325
'0:02.290',-0.250
'0:02.300',-0.070
'0:02.310',-0.155
'0:02.320',-0.015
'0:02.330',0.020
'0:02.340',0.115
'0:02.350',-0.110
'0:02.360',0.025
'0:02.370',0.090
'0:02.380',0.045
'0:02.390',-0.035
'0:02.400',0.135
'0:02.410',0.080
'0:02.420',0.090
'0:02.430',0.135
'0:02.440',0.345
'0:02.450',0.285
'0:02.460',0.440
'0:02.470',0.560
'0:02.480',0.520
'0:02.490',0.330
'0:02.500',0.525
'0:02.510',0.405
'0:02.520',0.405
'0:02.530',0.295
'0:02.540',0.245
'0:02.550',0.065
'0:02.560',0.110
'0:02.570',-0.070
'0:02.580',-0.095
'0:02.590',-0.055
'0:02.600',-0.030
'0:02.610',-0.260
'0:02.620',-0.180
'0:02.630',-0.315
'0:02.640',-0.255
'0:02.650',-0.270
'0:02.660',-0.255
'0:02.670',-0.310
'0:02.680',-0.100
'0:02.690',-0.175
'0:02.700',-0.245
'0:02.710',-0.210
'0:02.720',-0.090
'0:02.730',-0.295
'0:02.740',-0.155
'0:02.750',-0.150
'0:02.760',-0.090
'0:02.770',-0.115
'0:02.780',-0.080
'0:02.790',-0.135
'0:02.800',-0.095
'0:02.810',-0.275
'0:02.820',-0.125
'0:02.830',-0.095
'0:02.840',-0.080
'0:02.850',-0.090
'0:02.860',-0.135
'0:02.870',-0.310
'0:02.880',-0.060
'0:02.890',-0.145
'0:02.900',-0.135
'0:02.910',-0.035
'0:02.920',0.120
'0:02.930',0.080
'0:02.940',0.095
'0:02.950',-0.025
'0:02.960',0.050
'0:02.970',-0.110
'0:02.980',-0.015
'0:02.990',-0.065
'0:03.000',-0.050
'0:03.010',-0.235
'0:03.020',-0.205
'0:03.030',-0.150
'0:03.040',-0.225
'0:03.050',-0.385
'0:03.060',-0.200
'0:03.070',-0.260
'0:03.080',-0.185
'0:03.090',0.160
'0:03.100',1.690
'0:03.110',2.915
'0:03.120',1.375
'0:03.130',-1.155
'0:03.140',-2.080
'0:03.150',-1.920
'0:03.160',-0.940
'0:03.170',-0.520
'0:03.180',-0.255
'0:03.190',-0.240
'0:03.200',-0.205
'0:03.210',-0.090
'0:03.220',0.010
'0:03.230',-0.180
'0:03.240',-0.025
'0:03.250',0.005
'0:03.260',0.030
'0:03.270',-0.105
'0:03.280',-0.060
'0:03.290',-0.055
'0:03.300',0.115
'0:03.310',0.005
'0:03.320',0.145
'0:03.330',0.200
'0:03.340',0.290
'0:03.350',0.330
'0:03.360',0.430
'0:03.370',0.285
'0:03.380',0.335
'0:03.390',0.280
'0:03.400',0.345
'0:03.410',0.225
'0:03.420',0.240
'0:03.430',0.265
'0:03.440',0.215
'0:03.450',-0.115
'0:03.460',-0.035
'0:03.470',-0.095
'0:03.480',-0.220
'0:03.490',-0.280
'0:03.500',-0.200
'0:03.510',-0.290
'0:03.520',-0.240
'0:03.530',-0.355
'0:03.540',-0.325
'0:03.550',-0.370
'0:03.560',-0.205
'0:03.570',-0.285
'0:03.580',-0.280
'0:03.590',-0.295
'0:03.600',-0.220
'0:03.610',-0.300
'0:03.620',-0.215
'0:03.630',-0.185
'0:03.640',-0.115
'0:03.650',-0.295
'0:03.660',-0.135
'0:03.670',-0.140
'0:03.680',-0.190
'0:03.690',-0.210
'0:03.700',-0.105
'0:03.710',-0.265
'0:03.720',-0.270
'0:03.730',-0.170
'0:03.740',-0.155
'0:03.750',-0.290
'0:03.760',-0.135
'0:03.770',-0.200
'0:03.780',-0.125
'0:03.790',-0.225
'0:03.800',-0.070
'0:03.810',-0.045
'0:03.820',-0.045
'0:03.830',-0.055
'0:03.840',0.095
'0:03.850',0.000
'0:03.860',-0.035
'0:03.870',-0.185
'0:03.880',-0.040
'0:03.890',-0.090
'0:03.900',-0.235
'0:03.910',-0.355
'0:03.920',-0.165
'0:03.930',-0.355
'0:03.940',-0.370
'0:03.950',-0.340
'0:03.960',-0.205
'0:03.970',-0.225
'0:03.980',-0.035
'0:03.990',0.895
'0:04.000',2.715
'0:04.010',1.925
'0:04.020',-0.645
'0:04.030',-2.050
'0:04.040',-2.005
'0:04.050',-1.345
'0:04.060',-0.665
'0:04.070',-0.400
'0:04.080',-0.140
'0:04.090',-0.205
'0:04.100',-0.130
'0:04.110',-0.190
'0:04.120',-0.010
'0:04.130',-0.065
'0:04.140',-0.080
'0:04.150',-0.015
'0:04.160',0.030
'0:04.170',-0.070
'0:04.180',-0.050
'0:04.190',-0.120
'0:04.200',0.075
'0:04.210',0.055
'0:04.220',0.250
'0:04.230',0.225
'0:04.240',0.290
'0:04.250',0.300
'0:04.260',0.430
'0:04.270',0.370
'0:04.280',0.385
'0:04.290',0.200
'0:04.300',0.275
'0:04.310',0.195
'0:04.320',0.240
'0:04.330',0.095
'0:04.340',0.005
'0:04.350',0.015
'0:04.360',0.005
'0:04.370',-0.210
'0:04.380',-0.180
'0:04.390',-0.220
'0:04.400',-0.285
'0:04.410',-0.410
'0:04.420',-0.275
'0:04.430',-0.395
'0:04.440',-0.325
'0:04.450',-0.325
'0:04.460',-0.225
'0:04.470',-0.105
'0:04.480',-0.105
'0:04.490',-0.340
'0:04.500',-0.210
'0:04.510',-0.240
'0:04.520',-0.185
'0:04.530',-0.125
'0:04.540',-0.080
'0:04.550',-0.190
'0:04.560',-0.095
'0:04.570',-0.255
'0:04.580',-0.195
'0:04.590',-0.195
'0:04.600',-0.155
'0:04.610',-0.255
'0:04.620',-0.080
'0:04.630',-0.080
'0:04.640',-0.155
'0:04.650',-0.280
'0:04.660',-0.190
'0:04.670',-0.215
'0:04.680',-0.140
'0:04.690',-0.150
'0:04.700',0.070
'0:04.710',0.085
'0:04.720',0.135
'0:04.730',0.100
'0:04.740',-0.045
'0:04.750',-0.330
'0:04.760',-0.180
'0:04.770',-0.240
'0:04.780',-0.200
'0:04.790',-0.285
'0:04.800',-0.185
'0:04.810',-0.135
'0:04.820',-0.155
'0:04.830',-0.400
'0:04.840',-0.365
'0:04.850',-0.265
'0:04.860',-0.015
'0:04.870',1.260
'0:04.880',2.925
'0:04.890',1.530
'0:04.900',-0.915
'0:04.910',-1.975
'0:04.920',-1.865
'0:04.930',-1.225
'0:04.940',-0.515
'0:04.950',-0.440
'0:04.960',-0.300
'0:04.970',-0.215
'0:04.980',-0.080
'0:04.990',-0.025
'0:05.000',-0.050
'0:05.010',-0.125
'0:05.020',0.100
'0:05.030',-0.055
'0:05.040',0.050
'0:05.050',0.015
'0:05.060',0.035
'0:05.070',0.080
'0:05.080',0.170
'0:05.090',0.095
'0:05.100',0.135
'0:05.110',0.195
'0:05.120',0.425
'0:05.130',0.295
'0:05.140',0.390
'0:05.150',0.385
'0:05.160',0.445
'0:05.170',0.420
'0:05.180',0.330
'0:05.190',0.240
'0:05.200',0.315
'0:05.210',0.130
'0:05.220',-0.035
'0:05.230',-0.105
'0:05.240',-0.055
'0:05.250',-0.250
'0:05.260',-0.195
'0:05.270',-0.240
'0:05.280',-0.285
'0:05.290',-0.345
'0:05.300',-0.180
'0:05.310',-0.315
'0:05.320',-0.290
'0:05.330',-0.290
'0:05.340',-0.140
'0:05.350',-0.215
'0:05.360',-0.260
'0:05.370',-0.315
'0:05.380',-0.095
'0:05.390',-0.115
'0:05.400',-0.100
'0:05.410',-0.090
'0:05.420',-0.130
'0:05.430',-0.335
'0:05.440',-0.195
'0:05.450',-0.145
'0:05.460',-0.045
'0:05.470',-0.040
'0:05.480',-0.080
'0:05.490',-0.275
'0:05.500',-0.125
'0:05.510',-0.115
'0:05.520',-0.050
'0:05.530',-0.055
'0:05.540',-0.045
'0:05.550',-0.080
'0:05.560',0.075
'0:05.570',0.015
'0:05.580',0.115
'0:05.590',0.010
'0:05.600',-0.095
'0:05.610',-0.175
'0:05.620',-0.120
'0:05.630',-0.145
'0:05.640',-0.185
'0:05.650',-0.350
'0:05.660',-0.240
'0:05.670',-0.310
'0:05.680',-0.200
'0:05.690',-0.175
'0:05.700',-0.005
'0:05.710',0.660
'0:05.720',2.560
'0:05.730',2.745
'0:05.740',0.180
'0:05.750',-1.805
'0:05.760',-2.130
'0:05.770',-1.590
'0:05.780',-0.650
'0:05.790',-0.415
'0:05.800',-0.145
'0:05.810',-0.170
'0:05.820',-0.060
'0:05.830',-0.080
'0:05.840',0.010
'0:05.850',-0.070
'0:05.860',-0.005
'0:05.870',0.065
'0:05.880',0.085
'0:05.890',-0.060
'0:05.900',0.095
'0:05.910',0.100
'0:05.920',0.125
'0:05.930',0.070
'0:05.940',0.155
'0:05.950',0.230
'0:05.960',0.380
'0:05.970',0.430
'0:05.980',0.665
'0:05.990',0.470
'0:06.000',0.430
'0:06.010',0.530
'0:06.020',0.400
'0:06.030',0.250
'0:06.040',0.235
'0:06.050',0.115
'0:06.060',0.195
'0:06.070',0.010
'0:06.080',-0.075
'0:06.090',-0.125
'0:06.100',-0.005
'0:06.110',-0.130
'0:06.120',-0.215
'0:06.130',-0.270
'0:06.140',-0.255
'0:06.150',-0.215
'0:06.160',-0.130
'0:06.170',-0.235
'0:06.180',-0.165
'0:06.190',-0.310
'0:06.200',-0.280
'0:06.210',-0.190
'0:06.220',-0.010
'0:06.230',-0.125
'0:06.240',-0.045
'0:06.250',-0.095
'0:06.260',-0.035
'0:06.270',-0.010
'0:06.280',-0.045
'0:06.290',0.015
'0:06.300',0.025
'0:06.310',-0.210
'0:06.320',-0.120
'0:06.330',-0.165
'0:06.340',-0.110
'0:06.350',-0.110
'0:06.360',0.030
'0:06.370',-0.035
'0:06.380',0.135
'0:06.390',0.105
'0:06.400',0.160
'0:06.410',0.170
'0:06.420',0.115
'0:06.430',0.005
'0:06.440',0.055
'0:06.450',0.055
'0:06.460',0.050
'0:06.470',-0.145
'0:06.480',-0.175
'0:06.490',-0.100
'0:06.500',-0.140
'0:06.510',-0.240
'0:06.520',-0.120
'0:06.530',-0.195
'0:06.540',-0.130
'0:06.550',0.180
'0:06.560',1.980
'0:06.570',3.225
'0:06.580',1.245
'0:06.590',-1.385
'0:06.600',-2.110
'0:06.610',-1.865
'0:06.620',-0.890
'0:06.630',-0.330
'0:06.640',0.050
'0:06.650',-0.115
'0:06.660',-0.295
'0:06.670',-0.160
'0:06.680',-0.005
'0:06.690',-0.065
'0:06.700',0.035
'0:06.710',0.040
'0:06.720',0.145
'0:06.730',0.105
'0:06.740',0.150
'0:06.750',0.265
'0:06.760',0.475
'0:06.770',0.245
'0:06.780',0.055
'0:06.790',0.090
'0:06.800',0.295
'0:06.810',0.300
'0:06.820',0.470
'0:06.830',0.550
'0:06.840',0.710
'0:06.850',0.635
'0:06.860',0.645
'0:06.870',0.570
'0:06.880',0.445
'0:06.890',0.240
'0:06.900',0.190
'0:06.910',0.105
'0:06.920',0.065
'0:06.930',0.015
'0:06.940',0.035
'0:06.950',-0.080
'0:06.960',-0.145
'0:06.970',-0.145
'0:06.980',-0.080
'0:06.990',-0.105
'0:07.000',0.280
'0:07.010',-0.080
'0:07.020',-0.470
'0:07.030',-0.305
'0:07.040',-0.130
'0:07.050',-0.185
'0:07.060',-0.115
'0:07.070',-0.110
'0:07.080',-0.025
'0:07.090',-0.050
'0:07.100',-0.005
'0:07.110',-0.005
'0:07.120',0.080
'0:07.130',-0.055
'0:07.140',0.010
'0:07.150',0.035
'0:07.160',0.035
'0:07.170',0.120
'0:07.180',0.180
'0:07.190',0.275
'0:07.200',0.170
'0:07.210',-0.210
'0:07.220',0.050
'0:07.230',0.135
'0:07.240',0.115
'0:07.250',0.075
'0:07.260',0.080
'0:07.270',-0.025
'0:07.280',-0.010
'0:07.290',-0.080
'0:07.300',-0.045
'0:07.310',-0.120
'0:07.320',-0.080
'0:07.330',-0.030
'0:07.340',-0.040
'0:07.350',-0.155
'0:07.360',-0.095
'0:07.370',0.770
'0:07.380',3.005
'0:07.390',2.970
'0:07.400',0.030
'0:07.410',-1.965
'0:07.420',-1.960
'0:07.430',-1.325
'0:07.440',-0.505
'0:07.450',-0.240
'0:07.460',-0.025
'0:07.470',0.015
'0:07.480',0.010
'0:07.490',0.060
'0:07.500',0.175
'0:07.510',0.125
'0:07.520',0.275
'0:07.530',0.220
'0:07.540',0.100
'0:07.550',0.110
'0:07.560',0.175
'0:07.570',0.215
'0:07.580',0.325
'0:07.590',0.310
'0:07.600',0.430
'0:07.610',0.465
'0:07.620',0.565
'0:07.630',0.605
'0:07.640',0.635
'0:07.650',0.815
'0:07.660',0.850
'0:07.670',0.550
'0:07.680',0.570
'0:07.690',0.545
'0:07.700',0.500
'0:07.710',0.365
'0:07.720',0.270
'0:07.730',0.130
'0:07.740',0.100
'0:07.750',0.055
'0:07.760',0.065
'0:07.770',-0.035
'0:07.780',-0.010
'0:07.790',-0.040
'0:07.800',-0.080
'0:07.810',-0.170
'0:07.820',-0.125
'0:07.830',-0.165
'0:07.840',-0.115
'0:07.850',-0.100
'0:07.860',-0.090
'0:07.870',-0.135
'0:07.880',-0.035
'0:07.890',-0.030
'0:07.900',0.005
'0:07.910',-0.075
'0:07.920',-0.065
'0:07.930',-0.105
'0:07.940',-0.030
'0:07.950',0.040
'0:07.960',0.025
'0:07.970',-0.010
'0:07.980',0.025
'0:07.990',0.080
'0:08.000',0.215
'0:08.010',0.030
'0:08.020',-0.070
'0:08.030',0.010
'0:08.040',0.150
'0:08.050',0.125
'0:08.060',0.115
'0:08.070',0.065
'0:08.080',0.055
'0:08.090',-0.055
'0:08.100',-0.105
'0:08.110',-0.130
'0:08.120',-0.100
'0:08.130',-0.130
'0:08.140',-0.080
'0:08.150',-0.170
'0:08.160',-0.150
'0:08.170',-0.145
'0:08.180',-0.030
'0:08.190',1.030
'0:08.200',3.295
'0:08.210',2.960
'0:08.220',-0.400
'0:08.230',-2.265
'0:08.240',-2.160
'0:08.250',-1.400
'0:08.260',-0.580
'0:08.270',-0.345
'0:08.280',-0.110
'0:08.290',-0.035
'0:08.300',0.050
'0:08.310',0.045
'0:08.320',0.115
'0:08.330',0.095
'0:08.340',0.180
'0:08.350',0.240
'0:08.360',0.150
'0:08.370',0.075
'0:08.380',0.170
'0:08.390',0.205
'0:08.400',0.350
'0:08.410',0.355
'0:08.420',0.355
'0:08.430',0.355
'0:08.440',0.455
'0:08.450',0.530
'0:08.460',0.590
'0:08.470',0.585
'0:08.480',0.740
'0:08.490',0.685
'0:08.500',0.570
'0:08.510',0.480
'0:08.520',0.420
'0:08.530',0.390
'0:08.540',0.285
'0:08.550',0.030
'0:08.560',-0.050
'0:08.570',-0.125
'0:08.580',-0.130
'0:08.590',-0.105
'0:08.600',-0.055
'0:08.610',-0.020
'0:08.620',0.100
'0:08.630',-0.080
'0:08.640',-0.185
'0:08.650',-0.295
'0:08.660',-0.325
'0:08.670',-0.335
'0:08.680',-0.325
'0:08.690',-0.235
'0:08.700',-0.095
'0:08.710',0.115
'0:08.720',0.245
'0:08.730',0.155
'0:08.740',0.020
'0:08.750',-0.255
'0:08.760',-0.345
'0:08.770',-0.230
'0:08.780',-0.115
'0:08.790',0.130
'0:08.800',0.355
'0:08.810',0.035
'0:08.820',-0.145
'0:08.830',-0.205
'0:08.840',-0.360
'0:08.850',-0.220
'0:08.860',0.230
'0:08.870',0.295
'0:08.880',0.060
'0:08.890',-0.010
'0:08.900',0.235
'0:08.910',-0.030
'0:08.920',-0.475
'0:08.930',-0.205
'0:08.940',-0.150
'0:08.950',-0.340
'0:08.960',-0.250
'0:08.970',-0.340
'0:08.980',-0.325
'0:08.990',-0.110
'0:09.000',-0.150
'0:09.010',-0.295
'0:09.020',1.200
'0:09.030',3.435
'0:09.040',2.375
'0:09.050',-0.830
'0:09.060',-2.145
'0:09.070',-2.095
'0:09.080',-1.230
'0:09.090',-0.645
'0:09.100',-0.515
'0:09.110',-0.260
'0:09.120',-0.295
'0:09.130',-0.185
'0:09.140',-0.105
'0:09.150',-0.190
'0:09.160',0.190
'0:09.170',-0.120
'0:09.180',-0.355
'0:09.190',-0.195
'0:09.200',-0.285
'0:09.210',-0.145
'0:09.220',0.055
'0:09.230',0.125
'0:09.240',0.040
'0:09.250',0.260
'0:09.260',0.445
'0:09.270',0.170
'0:09.280',0.190
'0:09.290',0.365
'0:09.300',0.265
'0:09.310',0.240
'0:09.320',0.400
'0:09.330',0.400
'0:09.340',0.300
'0:09.350',0.195
'0:09.360',0.165
'0:09.370',-0.005
'0:09.380',-0.065
'0:09.390',-0.110
'0:09.400',-0.210
'0:09.410',-0.115
'0:09.420',0.130
'0:09.430',-0.180
'0:09.440',-0.580
'0:09.450',-0.615
'0:09.460',-0.530
'0:09.470',-0.355
'0:09.480',-0.240
'0:09.490',-0.080
'0:09.500',-0.355
'0:09.510',-0.515
'0:09.520',-0.275
'0:09.530',-0.100
'0:09.540',0.345
'0:09.550',0.170
'0:09.560',-0.685
'0:09.570',-0.875
'0:09.580',-0.475
'0:09.590',-0.230
'0:09.600',-0.375
'0:09.610',-0.125
'0:09.620',-0.055
'0:09.630',-0.440
'0:09.640',-0.355
'0:09.650',-0.190
'0:09.660',-0.145
'0:09.670',-0.130
'0:09.680',-0.080
'0:09.690',-0.045
'0:09.700',-0.020
'0:09.710',-0.005
'0:09.720',-0.050
'0:09.730',-0.100
'0:09.740',-0.120
'0:09.750',-0.090
'0:09.760',0.225
'0:09.770',0.135
'0:09.780',-0.595
'0:09.790',-0.710
'0:09.800',-0.445
'0:09.810',-0.335
'0:09.820',-0.195
'0:09.830',-0.205
'0:09.840',-0.220
'0:09.850',0.590
'0:09.860',3.110
'0:09.870',3.385
'0:09.880',-0.005
'0:09.890',-2.220
'0:09.900',-2.475
'0:09.910',-1.750
'0:09.920',-0.760
'0:09.930',-0.465
'0:09.940',-0.285
'0:09.950',-0.120
'0:09.960',-0.005
'0:09.970',-0.085
'0:09.980',-0.095
'0:09.990',-0.145
'0:10.000',-0.245
'0:10.010',-0.115
'0:10.020',-0.080
'0:10.030',-0.010
'0:10.040',0.030
'0:10.050',0.040
'0:10.060',0.120
'0:10.070',0.265
'0:10.080',0.200
'0:10.090',0.200
'0:10.100',0.315
'0:10.110',0.275
'0:10.120',0.390
'0:10.130',0.530
'0:10.140',0.575
'0:10.150',0.490
'0:10.160',0.465
'0:10.170',0.565
'0:10.180',0.470
'0:10.190',0.165
'0:10.200',0.015
'0:10.210',-0.040
'0:10.220',-0.145
'0:10.230',-0.120
'0:10.240',-0.145
'0:10.250',-0.055
'0:10.260',-0.015
'0:10.270',-0.270
'0:10.280',-0.420
'0:10.290',-0.330
'0:10.300',-0.250
'0:10.310',-0.230
'0:10.320',-0.310
'0:10.330',-0.350
'0:10.340',-0.325
'0:10.350',-0.335
'0:10.360',-0.330
'0:10.370',0.190
'0:10.380',0.110
'0:10.390',-0.545
'0:10.400',-0.500
'0:10.410',-0.315
'0:10.420',-0.290
'0:10.430',-0.225
'0:10.440',-0.150
'0:10.450',-0.170
'0:10.460',-0.165
'0:10.470',-0.050
'0:10.480',0.270
'0:10.490',0.150
'0:10.500',-0.410
'0:10.510',-0.540
'0:10.520',-0.290
'0:10.530',-0.115
'0:10.540',-0.075
'0:10.550',-0.005
'0:10.560',0.105
'0:10.570',0.140
'0:10.580',-0.080
'0:10.590',-0.120
'0:10.600',-0.220
'0:10.610',-0.185
'0:10.620',0.200
'0:10.630',-0.170
'0:10.640',-0.600
'0:10.650',-0.305
'0:10.660',-0.345
'0:10.670',-0.535
'0:10.680',-0.315
'0:10.690',-0.245
'0:10.700',0.595
'0:10.710',2.835
'0:10.720',2.895
'0:10.730',-0.050
'0:10.740',-2.135
'0:10.750',-2.375
'0:10.760',-1.665
'0:10.770',-0.755
'0:10.780',-0.400
'0:10.790',-0.245
'0:10.800',-0.210
'0:10.810',-0.015
'0:10.820',0.005
'0:10.830',-0.145
'0:10.840',-0.115
'0:10.850',0.050
'0:10.860',0.060
'0:10.870',0.035
'0:10.880',0.315
'0:10.890',0.220
'0:10.900',-0.200
'0:10.910',-0.070
'0:10.920',0.080
'0:10.930',0.175
'0:10.940',0.305
'0:10.950',0.380
'0:10.960',0.375
'0:10.970',0.560
'0:10.980',0.550
'0:10.990',0.485
'0:11.000',0.465
'0:11.010',0.440
'0:11.020',0.415
'0:11.030',0.275
'0:11.040',0.155
'0:11.050',0.110
'0:11.060',0.005
'0:11.070',-0.030
'0:11.080',-0.125
'0:11.090',-0.155
'0:11.100',-0.185
'0:11.110',-0.210
'0:11.120',-0.265
'0:11.130',-0.230
'0:11.140',-0.240
'0:11.150',-0.305
'0:11.160',-0.315
'0:11.170',-0.220
'0:11.180',-0.200
'0:11.190',-0.175
'0:11.200',-0.270
'0:11.210',-0.240
'0:11.220',-0.175
'0:11.230',-0.175
'0:11.240',-0.170
'0:11.250',-0.160
'0:11.260',-0.140
'0:11.270',-0.130
'0:11.280',-0.115
'0:11.290',-0.065
'0:11.300',-0.135
'0:11.310',-0.100
'0:11.320',-0.115
'0:11.330',-0.095
'0:11.340',-0.050
'0:11.350',-0.070
'0:11.360',-0.060
'0:11.370',0.015
'0:11.380',-0.055
'0:11.390',-0.025
'0:11.400',0.105
'0:11.410',0.370
'0:11.420',0.405
'0:11.430',0.235
'0:11.440',-0.090
'0:11.450',-0.390
'0:11.460',-0.370
'0:11.470',-0.250
'0:11.480',-0.220
'0:11.490',-0.190
'0:11.500',-0.115
'0:11.510',0.095
'0:11.520',0.020
'0:11.530',-0.280
'0:11.540',-0.215
'0:11.550',0.080
'0:11.560',1.905
'0:11.570',3.865
'0:11.580',1.675
'0:11.590',-1.400
'0:11.600',-2.475
'0:11.610',-2.180
'0:11.620',-1.135
'0:11.630',-0.530
'0:11.640',-0.335
'0:11.650',-0.145
'0:11.660',-0.210
'0:11.670',-0.150
'0:11.680',-0.065
'0:11.690',-0.025
'0:11.700',-0.055
'0:11.710',-0.010
'0:11.720',0.010
'0:11.730',0.020
'0:11.740',0.020
'0:11.750',0.120
'0:11.760',0.155
'0:11.770',0.350
'0:11.780',0.430
'0:11.790',0.460
'0:11.800',0.175
'0:11.810',0.040
'0:11.820',0.235
'0:11.830',0.360
'0:11.840',0.440
'0:11.850',0.500
'0:11.860',0.495
'0:11.870',0.570
'0:11.880',0.465
'0:11.890',0.385
'0:11.900',0.300
'0:11.910',0.240
'0:11.920',0.215
'0:11.930',0.075
'0:11.940',-0.255
'0:11.950',-0.195
'0:11.960',-0.235
'0:11.970',-0.305
'0:11.980',-0.260
'0:11.990',-0.240
'0:12.000',-0.270
