'Elapsed time','ECG','Resp C','Resp A','Resp N','SpO2'
'0:00.370',-0.355,-0.072,-0.067,-0.005,96.000
'0:00.380',-0.195,-0.072,-0.069,0.005,96.000
'0:00.390',-0.090,-0.071,-0.072,0.015,96.000
'0:00.400',-0.085,-0.071,-0.074,0.025,96.000
'0:00.410',-0.105,-0.071,-0.075,0.034,96.000
'0:00.420',-0.090,-0.071,-0.077,0.043,96.000
'0:00.430',-0.095,-0.071,-0.078,0.052,96.000
'0:00.440',-0.075,-0.071,-0.080,0.061,96.000
'0:00.450',-0.095,-0.071,-0.081,0.070,96.000
'0:00.460',-0.070,-0.071,-0.084,0.079,96.000
'0:00.470',-0.085,-0.071,-0.087,0.087,96.000
'0:00.480',-0.060,-0.070,-0.090,0.095,96.000
'0:00.490',-0.065,-0.070,-0.093,0.103,96.000
'0:00.500',-0.030,-0.070,-0.095,0.111,96.000
'0:00.510',-0.025,-0.069,-0.105,0.118,96.000
'0:00.520',0.000,-0.069,-0.114,0.126,96.000
'0:00.530',0.010,-0.068,-0.124,0.133,96.000
'0:00.540',0.035,-0.067,-0.133,0.140,96.000
'0:00.550',0.055,-0.067,-0.142,0.147,96.000
'0:00.560',0.110,-0.066,-0.153,0.153,96.000
'0:00.570',0.130,-0.066,-0.164,0.159,96.000
'0:00.580',0.175,-0.065,-0.174,0.165,96.000
'0:00.590',0.210,-0.065,-0.185,0.171,96.000
'0:00.600',0.240,-0.064,-0.195,0.177,96.000
'0:00.610',0.255,-0.063,-0.203,0.183,96.000
'0:00.620',0.285,-0.062,-0.211,0.188,96.000
'0:00.630',0.295,-0.061,-0.220,0.194,96.000
'0:00.640',0.290,-0.060,-0.228,0.199,96.000
'0:00.650',0.230,-0.059,-0.236,0.205,96.000
'0:00.660',0.200,-0.060,-0.242,0.209,96.000
'0:00.670',0.115,-0.060,-0.249,0.214,96.000
'0:00.680',0.055,-0.061,-0.255,0.219,96.000
'0:00.690',0.010,-0.061,-0.261,0.224,96.000
'0:00.700',-0.015,-0.062,-0.267,0.229,96.000
'0:00.710',-0.030,-0.063,-0.271,0.233,96.000
'0:00.720',-0.045,-0.063,-0.274,0.237,96.000
'0:00.730',-0.040,-0.064,-0.278,0.241,96.000
'0:00.740',-0.035,-0.064,-0.282,0.245,96.000
'0:00.750',-0.020,-0.065,-0.285,0.250,96.000
'0:00.760',-0.035,-0.065,-0.287,0.254,96.000
'0:00.770',-0.020,-0.065,-0.290,0.257,96.000
'0:00.780',-0.025,-0.065,-0.292,0.261,96.000
'0:00.790',-0.020,-0.065,-0.294,0.265,96.000
'0:00.800',-0.030,-0.065,-0.297,0.269,96.000
'0:00.810',-0.020,-0.065,-0.299,0.272,96.000
'0:00.820',-0.030,-0.065,-0.301,0.276,96.000
'0:00.830',-0.030,-0.065,-0.304,0.279,96.000
'0:00.840',-0.045,-0.065,-0.306,0.283,96.000
'0:00.850',-0.035,-0.065,-0.308,0.286,96.000
'0:00.860',-0.045,-0.065,-0.309,0.289,96.000
'0:00.870',-0.045,-0.065,-0.309,0.293,96.000
'0:00.880',-0.065,-0.065,-0.310,0.296,96.000
'0:00.890',-0.055,-0.065,-0.311,0.299,96.000
'0:00.900',-0.040,-0.065,-0.311,0.302,96.000
'0:00.910',0.035,-0.065,-0.310,0.304,96.000
'0:00.920',0.050,-0.065,-0.309,0.307,96.000
'0:00.930',0.070,-0.065,-0.308,0.310,96.000
'0:00.940',0.060,-0.066,-0.307,0.313,96.000
'0:00.950',0.105,-0.066,-0.306,0.316,96.000
'0:00.960',0.085,-0.066,-0.305,0.318,96.000
'0:00.970',0.030,-0.066,-0.304,0.320,96.000
'0:00.980',0.000,-0.066,-0.303,0.323,96.000
'0:00.990',-0.035,-0.066,-0.302,0.325,96.000
'0:01.000',-0.100,-0.066,-0.301,0.328,96.000
'0:01.010',-0.110,-0.068,-0.300,0.330,96.000
'0:01.020',-0.120,-0.069,-0.299,0.332,96.000
'0:01.030',-0.090,-0.070,-0.298,0.334,96.000
'0:01.040',-0.110,-0.071,-0.297,0.336,96.000
'0:01.050',-0.105,-0.073,-0.296,0.338,96.000
'0:01.060',-0.125,-0.073,-0.296,0.339,96.000
'0:01.070',-0.085,-0.074,-0.295,0.341,96.000
'0:01.080',-0.060,-0.074,-0.295,0.343,96.000
'0:01.090',0.195,-0.075,-0.294,0.345,96.000
'0:01.100',0.410,-0.075,-0.294,0.346,96.000
'0:01.110',-0.455,-0.075,-0.292,0.348,96.000
'0:01.120',-0.385,-0.075,-0.290,0.349,96.000
'0:01.130',-0.200,-0.075,-0.288,0.351,96.000
'0:01.140',-0.085,-0.075,-0.286,0.352,96.000
'0:01.150',-0.085,-0.075,-0.284,0.354,96.000
'0:01.160',-0.105,-0.076,-0.280,0.355,96.000
'0:01.170',-0.095,-0.077,-0.276,0.356,96.000
'0:01.180',-0.130,-0.077,-0.271,0.357,96.000
'0:01.190',-0.095,-0.078,-0.267,0.358,96.000
'0:01.200',-0.105,-0.079,-0.263,0.359,96.000
'0:01.210',-0.075,-0.079,-0.257,0.358,96.000
'0:01.220',-0.090,-0.079,-0.252,0.357,96.000
'0:01.230',-0.055,-0.079,-0.247,0.356,96.000
'0:01.240',-0.070,-0.079,-0.242,0.355,96.000
'0:01.250',-0.045,-0.079,-0.237,0.354,96.000
'0:01.260',-0.035,-0.079,-0.232,0.350,96.000
'0:01.270',0.000,-0.079,-0.226,0.346,96.000
'0:01.280',0.000,-0.078,-0.221,0.341,96.000
'0:01.290',0.050,-0.078,-0.215,0.337,96.000
'0:01.300',0.060,-0.078,-0.210,0.332,96.000
'0:01.310',0.120,-0.079,-0.201,0.325,96.000
'0:01.320',0.125,-0.080,-0.193,0.317,96.000
'0:01.330',0.185,-0.081,-0.184,0.309,96.000
'0:01.340',0.200,-0.083,-0.175,0.302,96.000
'0:01.350',0.250,-0.084,-0.166,0.294,96.000
'0:01.360',0.270,-0.084,-0.160,0.285,96.000
'0:01.370',0.300,-0.084,-0.153,0.275,96.000
'0:01.380',0.315,-0.084,-0.146,0.266,96.000
'0:01.390',0.280,-0.085,-0.140,0.256,96.000
'0:01.400',0.245,-0.085,-0.133,0.247,96.000
'0:01.410',0.175,-0.084,-0.131,0.236,96.000
'0:01.420',0.095,-0.083,-0.128,0.225,96.000
'0:01.430',0.045,-0.082,-0.125,0.214,96.000
'0:01.440',0.000,-0.081,-0.122,0.204,96.000
'0:01.450',-0.040,-0.081,-0.120,0.193,96.000
'0:01.460',-0.035,-0.081,-0.115,0.182,96.000
'0:01.470',-0.045,-0.081,-0.110,0.171,96.000
'0:01.480',-0.045,-0.082,-0.105,0.161,96.000
'0:01.490',-0.055,-0.082,-0.100,0.150,96.000
'0:01.500',-0.050,-0.082,-0.095,0.139,96.000
'0:01.510',-0.040,-0.082,-0.092,0.129,96.000
'0:01.520',-0.045,-0.082,-0.089,0.118,96.000
'0:01.530',-0.020,-0.081,-0.086,0.108,96.000
'0:01.540',-0.050,-0.081,-0.084,0.098,96.000
'0:01.550',-0.030,-0.081,-0.081,0.087,96.000
'0:01.560',-0.050,-0.081,-0.079,0.078,96.000
'0:01.570',-0.040,-0.082,-0.077,0.069,96.000
'0:01.580',-0.055,-0.082,-0.076,0.059,96.000
'0:01.590',-0.060,-0.083,-0.074,0.050,96.000
'0:01.600',-0.055,-0.083,-0.072,0.041,96.000
'0:01.610',-0.045,-0.083,-0.069,0.033,96.000
'0:01.620',-0.060,-0.083,-0.066,0.024,96.000
'0:01.630',-0.065,-0.082,-0.063,0.016,96.000
'0:01.640',-0.055,-0.082,-0.060,0.008,96.000
'0:01.650',0.000,-0.082,-0.057,-0.000,96.000
'0:01.660',0.030,-0.082,-0.053,-0.008,96.000
'0:01.670',0.055,-0.082,-0.050,-0.016,96.000
'0:01.680',0.035,-0.082,-0.046,-0.023,96.000
'0:01.690',0.110,-0.082,-0.043,-0.031,96.000
'0:01.700',0.085,-0.082,-0.040,-0.039,96.000
'0:01.710',0.060,-0.082,-0.035,-0.046,96.000
'0:01.720',0.000,-0.083,-0.031,-0.054,96.000
'0:01.730',-0.030,-0.084,-0.027,-0.061,96.000
'0:01.740',-0.115,-0.084,-0.023,-0.069,96.000
'0:01.750',-0.125,-0.085,-0.019,-0.076,96.000
'0:01.760',-0.125,-0.085,-0.014,-0.084,96.000
'0:01.770',-0.105,-0.084,-0.008,-0.091,96.000
'0:01.780',-0.120,-0.084,-0.003,-0.099,96.000
'0:01.790',-0.105,-0.083,0.002,-0.107,96.000
'0:01.800',-0.135,-0.083,0.007,-0.114,96.000
'0:01.810',-0.120,-0.084,0.015,-0.122,96.000
'0:01.820',-0.080,-0.085,0.023,-0.129,96.000
'0:01.830',0.135,-0.086,0.031,-0.136,96.000
'0:01.840',0.465,-0.087,0.039,-0.144,96.000
'0:01.850',-0.235,-0.088,0.047,-0.151,96.000
'0:01.860',-0.385,-0.089,0.056,-0.158,96.000
'0:01.870',-0.265,-0.090,0.065,-0.165,96.000
'0:01.880',-0.150,-0.091,0.074,-0.172,96.000
'0:01.890',-0.125,-0.092,0.083,-0.179,96.000
'0:01.900',-0.130,-0.092,0.092,-0.186,96.000
'0:01.910',-0.100,-0.092,0.100,-0.192,96.000
'0:01.920',-0.120,-0.091,0.108,-0.199,96.000
'0:01.930',-0.100,-0.090,0.115,-0.205,96.000
'0:01.940',-0.120,-0.089,0.123,-0.212,96.000
'0:01.950',-0.080,-0.088,0.131,-0.218,96.000
'0:01.960',-0.090,-0.088,0.139,-0.224,96.000
'0:01.970',-0.065,-0.087,0.148,-0.230,96.000
'0:01.980',-0.070,-0.086,0.156,-0.236,96.000
'0:01.990',-0.040,-0.086,0.164,-0.243,96.000
'0:02.000',-0.040,-0.085,0.172,-0.249,96.000
'0:02.010',-0.005,-0.084,0.180,-0.255,96.000
'0:02.020',0.005,-0.084,0.187,-0.260,96.000
'0:02.030',0.025,-0.083,0.194,-0.266,96.000
'0:02.040',0.055,-0.083,0.201,-0.272,96.000
'0:02.050',0.080,-0.082,0.208,-0.278,96.000
'0:02.060',0.110,-0.082,0.214,-0.283,96.000
'0:02.070',0.180,-0.083,0.220,-0.288,96.000
'0:02.080',0.190,-0.083,0.226,-0.294,96.000
'0:02.090',0.245,-0.083,0.232,-0.299,96.000
'0:02.100',0.260,-0.083,0.238,-0.304,96.000
'0:02.110',0.285,-0.082,0.243,-0.309,96.000
'0:02.120',0.300,-0.082,0.248,-0.315,96.000
'0:02.130',0.290,-0.082,0.253,-0.320,96.000
'0:02.140',0.255,-0.082,0.258,-0.325,96.000
'0:02.150',0.220,-0.081,0.263,-0.330,96.000
'0:02.160',0.115,-0.081,0.266,-0.334,96.000
'0:02.170',0.055,-0.081,0.268,-0.338,96.000
'0:02.180',0.010,-0.080,0.271,-0.342,96.000
'0:02.190',-0.015,-0.080,0.273,-0.346,96.000
'0:02.200',-0.055,-0.079,0.275,-0.351,96.000
'0:02.210',-0.035,-0.079,0.280,-0.354,96.000
'0:02.220',-0.040,-0.079,0.285,-0.358,96.000
'0:02.230',-0.060,-0.078,0.290,-0.361,96.000
'0:02.240',-0.045,-0.078,0.295,-0.365,96.000
'0:02.250',-0.030,-0.077,0.299,-0.369,96.000
'0:02.260',-0.035,-0.077,0.303,-0.372,96.000
'0:02.270',-0.035,-0.077,0.307,-0.375,96.000
'0:02.280',-0.030,-0.077,0.311,-0.378,96.000
'0:02.290',-0.035,-0.076,0.314,-0.381,96.000
'0:02.300',-0.040,-0.076,0.318,-0.385,96.000
'0:02.310',-0.055,-0.076,0.316,-0.387,96.000
'0:02.320',-0.055,-0.077,0.315,-0.389,96.000
'0:02.330',-0.045,-0.077,0.313,-0.392,96.000
'0:02.340',-0.050,-0.077,0.311,-0.394,96.000
'0:02.350',-0.060,-0.078,0.310,-0.396,96.000
'0:02.360',-0.050,-0.076,0.305,-0.397,96.000
'0:02.370',-0.050,-0.075,0.301,-0.399,96.000
'0:02.380',-0.050,-0.074,0.296,-0.400,96.000
'0:02.390',-0.025,-0.073,0.292,-0.401,96.000
'0:02.400',0.045,-0.072,0.288,-0.402,96.000
'0:02.410',0.045,-0.071,0.280,-0.402,96.000
'0:02.420',0.050,-0.070,0.272,-0.401,96.000
'0:02.430',0.120,-0.069,0.264,-0.400,96.000
'0:02.440',0.095,-0.068,0.256,-0.399,96.000
'0:02.450',0.045,-0.067,0.247,-0.398,96.000
'0:02.460',-0.010,-0.067,0.240,-0.394,96.000
'0:02.470',-0.010,-0.067,0.232,-0.390,96.000
'0:02.480',-0.100,-0.067,0.225,-0.386,96.000
'0:02.490',-0.120,-0.067,0.217,-0.382,96.000
'0:02.500',-0.110,-0.067,0.209,-0.378,96.000
'0:02.510',-0.105,-0.067,0.201,-0.371,96.000
'0:02.520',-0.110,-0.067,0.192,-0.363,96.000
'0:02.530',-0.110,-0.067,0.184,-0.356,96.000
'0:02.540',-0.125,-0.067,0.175,-0.349,96.000
'0:02.550',-0.115,-0.067,0.167,-0.342,96.000
'0:02.560',-0.070,-0.068,0.157,-0.333,96.000
'0:02.570',0.160,-0.069,0.147,-0.324,96.000
'0:02.580',0.515,-0.070,0.136,-0.315,96.000
'0:02.590',-0.135,-0.071,0.126,-0.306,96.000
'0:02.600',-0.370,-0.072,0.116,-0.297,96.000
'0:02.610',-0.230,-0.071,0.107,-0.286,96.000
'0:02.620',-0.120,-0.071,0.098,-0.276,96.000
'0:02.630',-0.090,-0.070,0.089,-0.266,96.000
'0:02.640',-0.100,-0.069,0.079,-0.256,96.000
'0:02.650',-0.105,-0.069,0.070,-0.246,96.000
'0:02.660',-0.105,-0.068,0.059,-0.235,96.000
'0:02.670',-0.090,-0.067,0.048,-0.225,96.000
'0:02.680',-0.105,-0.066,0.037,-0.214,96.000
'0:02.690',-0.075,-0.065,0.026,-0.203,96.000
'0:02.700',-0.090,-0.064,0.015,-0.193,96.000
'0:02.710',-0.065,-0.064,0.008,-0.182,96.000
'0:02.720',-0.070,-0.064,0.002,-0.171,96.000
'0:02.730',-0.045,-0.064,-0.005,-0.160,96.000
'0:02.740',-0.040,-0.064,-0.012,-0.150,96.000
'0:02.750',0.000,-0.064,-0.019,-0.139,96.000
'0:02.760',0.000,-0.063,-0.022,-0.128,96.000
'0:02.770',0.040,-0.062,-0.025,-0.117,96.000
'0:02.780',0.055,-0.062,-0.029,-0.106,96.000
'0:02.790',0.090,-0.061,-0.032,-0.095,96.000
'0:02.800',0.110,-0.060,-0.035,-0.084,96.000
'0:02.810',0.160,-0.061,-0.038,-0.073,96.000
'0:02.820',0.195,-0.061,-0.041,-0.062,96.000
'0:02.830',0.225,-0.061,-0.044,-0.052,96.000
'0:02.840',0.260,-0.061,-0.047,-0.041,96.000
'0:02.850',0.280,-0.062,-0.050,-0.030,96.000
'0:02.860',0.280,-0.061,-0.052,-0.020,96.000
'0:02.870',0.300,-0.061,-0.054,-0.010,96.000
'0:02.880',0.265,-0.060,-0.056,0.000,96.000
'0:02.890',0.205,-0.059,-0.059,0.010,96.000
'0:02.900',0.130,-0.059,-0.061,0.021,96.000
'0:02.910',0.070,-0.059,-0.063,0.030,96.000
'0:02.920',0.010,-0.058,-0.065,0.040,96.000
'0:02.930',-0.020,-0.058,-0.067,0.049,96.000
'0:02.940',-0.045,-0.058,-0.069,0.059,96.000
'0:02.950',-0.035,-0.058,-0.071,0.068,96.000
'0:02.960',-0.030,-0.058,-0.074,0.077,96.000
'0:02.970',-0.030,-0.059,-0.077,0.086,96.000
'0:02.980',-0.035,-0.059,-0.080,0.095,96.000
'0:02.990',-0.045,-0.060,-0.083,0.104,96.000
'0:03.000',-0.040,-0.061,-0.085,0.113,96.000
'0:03.010',-0.025,-0.061,-0.097,0.121,96.000
'0:03.020',-0.020,-0.061,-0.108,0.129,96.000
'0:03.030',-0.030,-0.061,-0.120,0.137,96.000
'0:03.040',-0.030,-0.061,-0.131,0.145,96.000
'0:03.050',-0.045,-0.062,-0.142,0.153,96.000
'0:03.060',-0.045,-0.062,-0.155,0.161,96.000
'0:03.070',-0.040,-0.062,-0.167,0.168,96.000
'0:03.080',-0.050,-0.062,-0.179,0.175,96.000
'0:03.090',-0.060,-0.063,-0.191,0.182,96.000
'0:03.100',-0.055,-0.063,-0.203,0.189,96.000
'0:03.110',-0.070,-0.062,-0.212,0.196,96.000
'0:03.120',-0.070,-0.061,-0.221,0.202,96.000
'0:03.130',-0.025,-0.060,-0.229,0.209,96.000
'0:03.140',0.040,-0.059,-0.238,0.215,96.000
'0:03.150',0.045,-0.058,-0.246,0.222,96.000
'0:03.160',0.070,-0.058,-0.253,0.227,96.000
'0:03.170',0.105,-0.058,-0.260,0.233,96.000
'0:03.180',0.105,-0.058,-0.267,0.239,96.000
'0:03.190',0.080,-0.058,-0.274,0.244,96.000
'0:03.200',0.000,-0.058,-0.281,0.250,96.000
'0:03.210',0.000,-0.059,-0.284,0.254,96.000
'0:03.220',-0.060,-0.059,-0.288,0.259,96.000
'0:03.230',-0.110,-0.059,-0.291,0.264,96.000
'0:03.240',-0.100,-0.059,-0.295,0.269,96.000
'0:03.250',-0.100,-0.059,-0.299,0.273,96.000
'0:03.260',-0.110,-0.059,-0.303,0.278,96.000
'0:03.270',-0.115,-0.059,-0.307,0.282,96.000
'0:03.280',-0.110,-0.058,-0.311,0.286,96.000
'0:03.290',-0.125,-0.058,-0.316,0.290,96.000
'0:03.300',-0.085,-0.058,-0.320,0.295,96.000
'0:03.310',0.055,-0.058,-0.322,0.298,96.000
'0:03.320',0.325,-0.058,-0.324,0.302,96.000
'0:03.330',0.000,-0.058,-0.327,0.306,96.000
'0:03.340',-0.415,-0.058,-0.329,0.310,96.000
'0:03.350',-0.280,-0.058,-0.331,0.314,96.000
'0:03.360',-0.140,-0.058,-0.334,0.317,96.000
'0:03.370',-0.085,-0.058,-0.337,0.320,96.000
'0:03.380',-0.110,-0.057,-0.340,0.324,96.000
'0:03.390',-0.105,-0.057,-0.343,0.327,96.000
'0:03.400',-0.105,-0.057,-0.346,0.330,96.000
'0:03.410',-0.100,-0.058,-0.349,0.333,96.000
'0:03.420',-0.105,-0.059,-0.352,0.336,96.000
'0:03.430',-0.100,-0.060,-0.355,0.339,96.000
'0:03.440',-0.080,-0.062,-0.358,0.342,96.000
'0:03.450',-0.075,-0.063,-0.361,0.345,96.000
'0:03.460',-0.060,-0.063,-0.362,0.348,96.000
'0:03.470',-0.050,-0.063,-0.363,0.350,96.000
'0:03.480',-0.030,-0.063,-0.364,0.353,96.000
'0:03.490',-0.010,-0.063,-0.365,0.356,96.000
'0:03.500',0.000,-0.063,-0.367,0.358,96.000
'0:03.510',0.025,-0.063,-0.367,0.361,96.000
'0:03.520',0.060,-0.063,-0.368,0.363,96.000
'0:03.530',0.090,-0.063,-0.369,0.366,96.000
'0:03.540',0.120,-0.063,-0.370,0.368,96.000
'0:03.550',0.160,-0.063,-0.371,0.371,96.000
'0:03.560',0.205,-0.063,-0.372,0.373,96.000
'0:03.570',0.235,-0.064,-0.373,0.375,96.000
'0:03.580',0.250,-0.064,-0.374,0.377,96.000
'0:03.590',0.295,-0.064,-0.375,0.379,96.000
'0:03.600',0.300,-0.064,-0.376,0.381,96.000
'0:03.610',0.300,-0.065,-0.377,0.383,96.000
'0:03.620',0.280,-0.065,-0.378,0.384,96.000
'0:03.630',0.210,-0.066,-0.379,0.386,96.000
'0:03.640',0.140,-0.067,-0.380,0.388,96.000
'0:03.650',0.070,-0.067,-0.381,0.390,96.000
'0:03.660',0.015,-0.068,-0.380,0.391,96.000
'0:03.670',-0.015,-0.068,-0.379,0.393,96.000
'0:03.680',-0.025,-0.069,-0.377,0.395,96.000
'0:03.690',-0.050,-0.069,-0.376,0.397,96.000
'0:03.700',-0.055,-0.070,-0.375,0.398,96.000
'0:03.710',-0.050,-0.069,-0.373,0.400,96.000
'0:03.720',-0.035,-0.069,-0.370,0.401,96.000
'0:03.730',-0.040,-0.068,-0.368,0.402,96.000
'0:03.740',-0.045,-0.068,-0.365,0.403,96.000
'0:03.750',-0.035,-0.067,-0.362,0.404,96.000
'0:03.760',-0.035,-0.068,-0.360,0.404,96.000
'0:03.770',-0.025,-0.069,-0.358,0.405,96.000
'0:03.780',-0.035,-0.070,-0.355,0.405,96.000
'0:03.790',-0.045,-0.071,-0.353,0.405,96.000
'0:03.800',-0.025,-0.072,-0.351,0.405,96.000
'0:03.810',-0.035,-0.072,-0.349,0.403,96.000
'0:03.820',-0.050,-0.072,-0.347,0.401,96.000
'0:03.830',-0.055,-0.072,-0.345,0.399,96.000
'0:03.840',-0.050,-0.073,-0.343,0.397,96.000
'0:03.850',-0.060,-0.073,-0.341,0.394,96.000
'0:03.860',-0.055,-0.072,-0.339,0.389,96.000
'0:03.870',-0.005,-0.072,-0.336,0.383,96.000
'0:03.880',0.045,-0.071,-0.334,0.377,96.000
'0:03.890',0.050,-0.070,-0.331,0.372,96.000
'0:03.900',0.055,-0.070,-0.329,0.366,96.000
'0:03.910',0.105,-0.070,-0.324,0.357,96.000
'0:03.920',0.085,-0.070,-0.320,0.349,96.000
'0:03.930',0.060,-0.070,-0.315,0.340,96.000
'0:03.940',0.005,-0.070,-0.311,0.332,96.000
'0:03.950',-0.020,-0.070,-0.306,0.323,96.000
'0:03.960',-0.100,-0.070,-0.301,0.313,95.000
'0:03.970',-0.115,-0.069,-0.297,0.302,95.000
'0:03.980',-0.115,-0.069,-0.292,0.292,95.000
'0:03.990',-0.115,-0.069,-0.288,0.281,95.000
'0:04.000',-0.120,-0.068,-0.283,0.271,95.000
'0:04.010',-0.120,-0.068,-0.281,0.259,95.000
'0:04.020',-0.120,-0.067,-0.279,0.248,95.000
'0:04.030',-0.125,-0.067,-0.278,0.236,95.000
'0:04.040',-0.070,-0.066,-0.276,0.225,95.000
'0:04.050',0.075,-0.066,-0.274,0.213,95.000
'0:04.060',0.335,-0.065,-0.270,0.202,95.000
'0:04.070',-0.015,-0.064,-0.265,0.190,95.000
'0:04.080',-0.405,-0.064,-0.261,0.179,95.000
'0:04.090',-0.275,-0.063,-0.256,0.167,95.000
'0:04.100',-0.170,-0.063,-0.252,0.156,95.000
'0:04.110',-0.100,-0.062,-0.248,0.145,95.000
'0:04.120',-0.105,-0.062,-0.244,0.134,95.000
'0:04.130',-0.105,-0.062,-0.241,0.123,95.000
'0:04.140',-0.090,-0.061,-0.237,0.112,95.000
'0:04.150',-0.110,-0.061,-0.234,0.102,95.000
'0:04.160',-0.110,-0.061,-0.229,0.091,95.000
'0:04.170',-0.080,-0.062,-0.224,0.081,95.000
'0:04.180',-0.080,-0.062,-0.218,0.071,95.000
'0:04.190',-0.075,-0.063,-0.213,0.061,95.000
'0:04.200',-0.075,-0.063,-0.208,0.051,95.000
'0:04.210',-0.045,-0.063,-0.199,0.042,95.000
'0:04.220',-0.025,-0.063,-0.189,0.033,95.000
'0:04.230',-0.010,-0.063,-0.180,0.024,95.000
'0:04.240',0.000,-0.063,-0.170,0.015,95.000
'0:04.250',0.025,-0.063,-0.161,0.006,95.000
'0:04.260',0.065,-0.063,-0.154,-0.003,95.000
'0:04.270',0.080,-0.063,-0.146,-0.011,95.000
'0:04.280',0.105,-0.064,-0.139,-0.019,95.000
'0:04.290',0.165,-0.064,-0.131,-0.027,95.000
'0:04.300',0.200,-0.064,-0.124,-0.035,95.000
'0:04.310',0.235,-0.064,-0.115,-0.043,95.000
'0:04.320',0.265,-0.064,-0.106,-0.050,95.000
'0:04.330',0.275,-0.064,-0.097,-0.058,95.000
'0:04.340',0.310,-0.064,-0.088,-0.065,95.000
'0:04.350',0.315,-0.064,-0.079,-0.073,95.000
'0:04.360',0.270,-0.064,-0.075,-0.080,95.000
'0:04.370',0.220,-0.064,-0.071,-0.087,95.000
'0:04.380',0.125,-0.064,-0.068,-0.094,95.000
'0:04.390',0.080,-0.065,-0.064,-0.101,95.000
'0:04.400',0.005,-0.065,-0.060,-0.108,95.000
'0:04.410',-0.025,-0.065,-0.058,-0.114,95.000
'0:04.420',-0.025,-0.065,-0.055,-0.120,95.000
'0:04.430',-0.050,-0.066,-0.053,-0.127,95.000
'0:04.440',-0.040,-0.066,-0.051,-0.133,95.000
'0:04.450',-0.050,-0.066,-0.049,-0.139,95.000
'0:04.460',-0.050,-0.065,-0.044,-0.144,95.000
'0:04.470',-0.045,-0.063,-0.040,-0.150,95.000
'0:04.480',-0.040,-0.062,-0.036,-0.155,95.000
'0:04.490',-0.020,-0.060,-0.032,-0.161,95.000
'0:04.500',-0.035,-0.059,-0.027,-0.166,95.000
'0:04.510',-0.050,-0.059,-0.024,-0.171,95.000
'0:04.520',-0.040,-0.059,-0.021,-0.176,95.000
'0:04.530',-0.040,-0.059,-0.018,-0.181,95.000
'0:04.540',-0.045,-0.059,-0.015,-0.186,95.000
'0:04.550',-0.055,-0.059,-0.012,-0.191,95.000
'0:04.560',-0.055,-0.060,-0.005,-0.196,95.000
'0:04.570',-0.060,-0.060,0.002,-0.200,95.000
'0:04.580',-0.070,-0.061,0.009,-0.205,95.000
'0:04.590',-0.065,-0.062,0.016,-0.210,95.000
'0:04.600',-0.065,-0.062,0.023,-0.214,95.000
'0:04.610',0.000,-0.063,0.034,-0.219,95.000
'0:04.620',0.040,-0.063,0.044,-0.223,95.000
'0:04.630',0.040,-0.064,0.054,-0.227,95.000
'0:04.640',0.050,-0.064,0.064,-0.232,95.000
'0:04.650',0.115,-0.064,0.074,-0.236,95.000
