'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'0:00.590',-0.097,-0.372,0.276,98.000
'0:00.600',-0.097,-0.374,0.276,98.000
'0:00.610',-0.100,-0.372,0.276,98.000
'0:00.620',-0.104,-0.370,0.276,98.000
'0:00.630',-0.108,-0.369,0.275,98.000
'0:00.640',-0.112,-0.367,0.275,98.000
'0:00.650',-0.116,-0.366,0.275,98.000
'0:00.660',-0.114,-0.364,0.273,98.000
'0:00.670',-0.111,-0.363,0.271,98.000
'0:00.680',-0.109,-0.362,0.270,98.000
'0:00.690',-0.107,-0.360,0.268,98.000
'0:00.700',-0.105,-0.359,0.267,98.000
'0:00.710',-0.104,-0.358,0.264,98.000
'0:00.720',-0.104,-0.356,0.261,98.000
'0:00.730',-0.104,-0.355,0.259,98.000
'0:00.740',-0.104,-0.353,0.256,98.000
'0:00.750',-0.104,-0.352,0.253,98.000
'0:00.760',-0.098,-0.350,0.250,98.000
'0:00.770',-0.093,-0.349,0.247,98.000
'0:00.780',-0.088,-0.348,0.244,98.000
'0:00.790',-0.082,-0.347,0.241,98.000
'0:00.800',-0.077,-0.345,0.238,98.000
'0:00.810',-0.078,-0.343,0.235,98.000
'0:00.820',-0.079,-0.341,0.231,98.000
'0:00.830',-0.079,-0.338,0.228,98.000
'0:00.840',-0.080,-0.336,0.225,98.000
'0:00.850',-0.081,-0.334,0.222,98.000
'0:00.860',-0.083,-0.332,0.218,98.000
'0:00.870',-0.085,-0.330,0.215,98.000
'0:00.880',-0.087,-0.327,0.212,98.000
'0:00.890',-0.088,-0.325,0.208,98.000
'0:00.900',-0.090,-0.323,0.205,98.000
'0:00.910',-0.088,-0.320,0.202,98.000
'0:00.920',-0.086,-0.317,0.198,98.000
'0:00.930',-0.084,-0.314,0.195,98.000
'0:00.940',-0.082,-0.311,0.191,98.000
'0:00.950',-0.080,-0.308,0.188,98.000
'0:00.960',-0.076,-0.307,0.184,98.000
'0:00.970',-0.072,-0.305,0.181,98.000
'0:00.980',-0.068,-0.304,0.177,98.000
'0:00.990',-0.064,-0.302,0.174,98.000
'0:01.000',-0.059,-0.301,0.170,98.000
'0:01.010',-0.063,-0.296,0.166,98.000
'0:01.020',-0.066,-0.291,0.163,98.000
'0:01.030',-0.069,-0.286,0.159,98.000
'0:01.040',-0.072,-0.281,0.155,98.000
'0:01.050',-0.076,-0.276,0.151,98.000
'0:01.060',-0.080,-0.270,0.147,98.000
'0:01.070',-0.084,-0.263,0.144,98.000
'0:01.080',-0.088,-0.257,0.140,98.000
'0:01.090',-0.092,-0.250,0.136,98.000
'0:01.100',-0.096,-0.243,0.133,98.000
'0:01.110',-0.092,-0.240,0.129,98.000
'0:01.120',-0.089,-0.236,0.125,98.000
'0:01.130',-0.085,-0.232,0.122,98.000
'0:01.140',-0.081,-0.229,0.118,98.000
'0:01.150',-0.077,-0.225,0.115,98.000
'0:01.160',-0.082,-0.215,0.111,98.000
'0:01.170',-0.086,-0.205,0.107,98.000
'0:01.180',-0.090,-0.195,0.103,98.000
'0:01.190',-0.094,-0.185,0.099,98.000
'0:01.200',-0.098,-0.176,0.095,98.000
'0:01.210',-0.094,-0.171,0.092,98.000
'0:01.220',-0.091,-0.167,0.088,98.000
'0:01.230',-0.087,-0.163,0.084,98.000
'0:01.240',-0.083,-0.159,0.080,98.000
'0:01.250',-0.080,-0.155,0.077,98.000
'0:01.260',-0.079,-0.154,0.073,98.000
'0:01.270',-0.079,-0.153,0.069,98.000
'0:01.280',-0.078,-0.152,0.065,98.000
'0:01.290',-0.078,-0.151,0.062,98.000
'0:01.300',-0.077,-0.150,0.058,98.000
'0:01.310',-0.076,-0.145,0.054,98.000
'0:01.320',-0.076,-0.140,0.050,98.000
'0:01.330',-0.075,-0.135,0.046,98.000
'0:01.340',-0.074,-0.130,0.043,98.000
'0:01.350',-0.074,-0.125,0.039,98.000
'0:01.360',-0.073,-0.123,0.035,98.000
'0:01.370',-0.072,-0.121,0.031,98.000
'0:01.380',-0.072,-0.119,0.028,98.000
'0:01.390',-0.071,-0.117,0.024,98.000
'0:01.400',-0.071,-0.115,0.020,98.000
'0:01.410',-0.071,-0.110,0.017,98.000
'0:01.420',-0.072,-0.105,0.013,98.000
'0:01.430',-0.072,-0.100,0.009,98.000
'0:01.440',-0.072,-0.094,0.005,98.000
'0:01.450',-0.073,-0.089,0.002,98.000
'0:01.460',-0.078,-0.093,-0.002,98.000
'0:01.470',-0.083,-0.096,-0.006,98.000
'0:01.480',-0.088,-0.099,-0.009,98.000
'0:01.490',-0.094,-0.102,-0.013,98.000
'0:01.500',-0.099,-0.105,-0.017,98.000
'0:01.510',-0.104,-0.105,-0.020,98.000
'0:01.520',-0.110,-0.105,-0.024,98.000
'0:01.530',-0.115,-0.105,-0.027,98.000
'0:01.540',-0.121,-0.105,-0.031,98.000
'0:01.550',-0.126,-0.105,-0.034,98.000
'0:01.560',-0.113,-0.095,-0.038,98.000
'0:01.570',-0.100,-0.086,-0.042,98.000
'0:01.580',-0.087,-0.076,-0.045,98.000
'0:01.590',-0.074,-0.066,-0.049,98.000
'0:01.600',-0.061,-0.057,-0.053,98.000
'0:01.610',-0.068,-0.060,-0.056,98.000
'0:01.620',-0.075,-0.064,-0.060,98.000
'0:01.630',-0.082,-0.068,-0.064,98.000
'0:01.640',-0.089,-0.072,-0.067,98.000
'0:01.650',-0.096,-0.075,-0.071,98.000
'0:01.660',-0.094,-0.072,-0.074,98.000
'0:01.670',-0.092,-0.070,-0.078,98.000
'0:01.680',-0.090,-0.067,-0.081,98.000
'0:01.690',-0.089,-0.064,-0.085,98.000
'0:01.700',-0.087,-0.062,-0.088,98.000
'0:01.710',-0.079,-0.056,-0.091,98.000
'0:01.720',-0.070,-0.049,-0.095,98.000
'0:01.730',-0.061,-0.043,-0.098,98.000
'0:01.740',-0.053,-0.037,-0.101,98.000
'0:01.750',-0.044,-0.031,-0.105,98.000
'0:01.760',-0.052,-0.034,-0.108,98.000
'0:01.770',-0.059,-0.037,-0.111,98.000
'0:01.780',-0.066,-0.040,-0.114,98.000
'0:01.790',-0.073,-0.043,-0.117,98.000
'0:01.800',-0.080,-0.045,-0.120,98.000
'0:01.810',-0.079,-0.044,-0.124,98.000
'0:01.820',-0.078,-0.042,-0.127,98.000
'0:01.830',-0.077,-0.041,-0.130,98.000
'0:01.840',-0.076,-0.039,-0.133,98.000
'0:01.850',-0.075,-0.038,-0.137,98.000
'0:01.860',-0.079,-0.038,-0.139,98.000
'0:01.870',-0.084,-0.038,-0.142,98.000
'0:01.880',-0.088,-0.038,-0.145,98.000
'0:01.890',-0.092,-0.039,-0.148,98.000
'0:01.900',-0.096,-0.039,-0.151,98.000
'0:01.910',-0.093,-0.036,-0.154,98.000
'0:01.920',-0.089,-0.033,-0.157,98.000
'0:01.930',-0.086,-0.030,-0.159,98.000
'0:01.940',-0.082,-0.027,-0.162,98.000
'0:01.950',-0.079,-0.024,-0.165,98.000
'0:01.960',-0.071,-0.018,-0.167,98.000
'0:01.970',-0.063,-0.013,-0.170,98.000
'0:01.980',-0.056,-0.007,-0.173,98.000
'0:01.990',-0.048,-0.001,-0.175,98.000
'0:02.000',-0.040,0.004,-0.178,98.000
'0:02.010',-0.038,0.007,-0.181,98.000
'0:02.020',-0.036,0.011,-0.183,98.000
'0:02.030',-0.034,0.014,-0.186,98.000
'0:02.040',-0.033,0.017,-0.188,98.000
'0:02.050',-0.031,0.020,-0.191,98.000
'0:02.060',-0.028,0.022,-0.193,98.000
'0:02.070',-0.025,0.025,-0.196,98.000
'0:02.080',-0.022,0.028,-0.198,98.000
'0:02.090',-0.019,0.030,-0.201,98.000
'0:02.100',-0.017,0.033,-0.203,98.000
'0:02.110',-0.016,0.035,-0.205,98.000
'0:02.120',-0.015,0.037,-0.208,98.000
'0:02.130',-0.014,0.039,-0.210,98.000
'0:02.140',-0.013,0.041,-0.213,98.000
'0:02.150',-0.012,0.043,-0.215,98.000
'0:02.160',-0.009,0.045,-0.217,98.000
'0:02.170',-0.006,0.048,-0.219,98.000
'0:02.180',-0.003,0.051,-0.222,98.000
'0:02.190',-0.000,0.054,-0.224,98.000
'0:02.200',0.003,0.057,-0.226,98.000
'0:02.210',0.005,0.058,-0.228,98.000
'0:02.220',0.007,0.060,-0.230,98.000
'0:02.230',0.009,0.061,-0.232,98.000
'0:02.240',0.011,0.062,-0.234,98.000
'0:02.250',0.013,0.064,-0.237,98.000
'0:02.260',0.013,0.065,-0.238,98.000
'0:02.270',0.014,0.065,-0.240,98.000
'0:02.280',0.014,0.066,-0.242,98.000
'0:02.290',0.015,0.067,-0.244,98.000
'0:02.300',0.016,0.068,-0.246,98.000
'0:02.310',0.013,0.069,-0.248,98.000
'0:02.320',0.011,0.070,-0.250,98.000
'0:02.330',0.008,0.071,-0.251,98.000
'0:02.340',0.006,0.072,-0.253,98.000
'0:02.350',0.004,0.074,-0.255,98.000
'0:02.360',0.002,0.076,-0.257,98.000
'0:02.370',0.001,0.079,-0.258,98.000
'0:02.380',-0.000,0.082,-0.260,98.000
'0:02.390',-0.002,0.085,-0.262,98.000
'0:02.400',-0.003,0.088,-0.264,98.000
'0:02.410',-0.008,0.093,-0.265,98.000
'0:02.420',-0.013,0.098,-0.267,98.000
'0:02.430',-0.018,0.103,-0.269,98.000
'0:02.440',-0.023,0.108,-0.270,98.000
'0:02.450',-0.028,0.113,-0.272,98.000
'0:02.460',-0.035,0.117,-0.273,98.000
'0:02.470',-0.041,0.120,-0.275,98.000
'0:02.480',-0.048,0.124,-0.276,98.000
'0:02.490',-0.055,0.128,-0.278,98.000
'0:02.500',-0.062,0.131,-0.279,98.000
'0:02.510',-0.056,0.134,-0.281,98.000
'0:02.520',-0.049,0.137,-0.282,98.000
'0:02.530',-0.043,0.139,-0.284,98.000
'0:02.540',-0.037,0.142,-0.285,98.000
'0:02.550',-0.030,0.145,-0.287,98.000
'0:02.560',-0.033,0.149,-0.288,98.000
'0:02.570',-0.035,0.154,-0.290,98.000
'0:02.580',-0.037,0.158,-0.291,98.000
'0:02.590',-0.039,0.163,-0.293,98.000
'0:02.600',-0.041,0.167,-0.294,98.000
'0:02.610',-0.048,0.169,-0.295,98.000
'0:02.620',-0.055,0.171,-0.297,98.000
'0:02.630',-0.061,0.172,-0.298,98.000
'0:02.640',-0.068,0.174,-0.299,98.000
'0:02.650',-0.075,0.175,-0.301,98.000
'0:02.660',-0.079,0.182,-0.302,98.000
'0:02.670',-0.083,0.189,-0.303,98.000
'0:02.680',-0.087,0.196,-0.305,98.000
'0:02.690',-0.092,0.203,-0.306,98.000
'0:02.700',-0.096,0.210,-0.307,98.000
'0:02.710',-0.098,0.217,-0.308,98.000
'0:02.720',-0.099,0.223,-0.310,98.000
'0:02.730',-0.101,0.230,-0.311,98.000
'0:02.740',-0.102,0.236,-0.312,98.000
'0:02.750',-0.104,0.243,-0.313,98.000
'0:02.760',-0.096,0.239,-0.314,98.000
'0:02.770',-0.088,0.235,-0.315,98.000
'0:02.780',-0.080,0.231,-0.317,98.000
'0:02.790',-0.072,0.227,-0.318,98.000
'0:02.800',-0.064,0.224,-0.319,98.000
'0:02.810',-0.061,0.226,-0.320,98.000
'0:02.820',-0.058,0.228,-0.322,98.000
'0:02.830',-0.056,0.230,-0.323,98.000
'0:02.840',-0.053,0.232,-0.324,98.000
'0:02.850',-0.051,0.234,-0.326,98.000
'0:02.860',-0.049,0.236,-0.327,98.000
'0:02.870',-0.047,0.239,-0.327,98.000
'0:02.880',-0.045,0.241,-0.328,98.000
'0:02.890',-0.043,0.244,-0.329,98.000
'0:02.900',-0.041,0.246,-0.330,98.000
'0:02.910',-0.048,0.246,-0.331,98.000
'0:02.920',-0.054,0.246,-0.332,98.000
'0:02.930',-0.061,0.246,-0.333,98.000
'0:02.940',-0.067,0.246,-0.334,98.000
'0:02.950',-0.074,0.246,-0.334,98.000
'0:02.960',-0.077,0.248,-0.335,98.000
'0:02.970',-0.081,0.250,-0.336,98.000
'0:02.980',-0.085,0.253,-0.336,98.000
'0:02.990',-0.088,0.255,-0.337,98.000
'0:03.000',-0.092,0.257,-0.337,98.000
'0:03.010',-0.087,0.254,-0.337,98.000
'0:03.020',-0.082,0.251,-0.337,98.000
'0:03.030',-0.077,0.249,-0.337,98.000
'0:03.040',-0.071,0.246,-0.337,98.000
'0:03.050',-0.066,0.243,-0.337,98.000
'0:03.060',-0.061,0.236,-0.336,98.000
'0:03.070',-0.056,0.230,-0.335,98.000
'0:03.080',-0.051,0.224,-0.334,98.000
'0:03.090',-0.046,0.218,-0.333,98.000
'0:03.100',-0.040,0.212,-0.332,98.000
'0:03.110',-0.038,0.208,-0.330,98.000
'0:03.120',-0.035,0.204,-0.327,98.000
'0:03.130',-0.032,0.200,-0.325,98.000
'0:03.140',-0.029,0.197,-0.323,98.000
'0:03.150',-0.026,0.193,-0.321,98.000
'0:03.160',-0.029,0.191,-0.318,98.000
'0:03.170',-0.031,0.189,-0.315,98.000
'0:03.180',-0.033,0.187,-0.311,98.000
'0:03.190',-0.036,0.185,-0.308,98.000
'0:03.200',-0.038,0.183,-0.305,98.000
'0:03.210',-0.032,0.179,-0.301,98.000
'0:03.220',-0.026,0.175,-0.297,98.000
'0:03.230',-0.020,0.171,-0.293,98.000
'0:03.240',-0.013,0.167,-0.289,98.000
'0:03.250',-0.007,0.163,-0.285,98.000
'0:03.260',-0.008,0.160,-0.282,98.000
'0:03.270',-0.009,0.156,-0.278,98.000
'0:03.280',-0.010,0.152,-0.274,98.000
'0:03.290',-0.011,0.149,-0.271,98.000
'0:03.300',-0.012,0.145,-0.267,98.000
'0:03.310',-0.017,0.145,-0.263,98.000
'0:03.320',-0.021,0.144,-0.259,98.000
'0:03.330',-0.025,0.144,-0.256,98.000
'0:03.340',-0.030,0.143,-0.252,98.000
'0:03.350',-0.034,0.143,-0.248,98.000
'0:03.360',-0.029,0.141,-0.245,98.000
'0:03.370',-0.024,0.138,-0.241,98.000
'0:03.380',-0.020,0.136,-0.237,98.000
'0:03.390',-0.015,0.134,-0.233,98.000
'0:03.400',-0.010,0.131,-0.229,98.000
'0:03.410',-0.011,0.128,-0.226,98.000
'0:03.420',-0.011,0.124,-0.222,98.000
'0:03.430',-0.012,0.120,-0.219,98.000
'0:03.440',-0.013,0.116,-0.215,98.000
'0:03.450',-0.013,0.112,-0.211,98.000
'0:03.460',-0.011,0.109,-0.208,98.000
'0:03.470',-0.010,0.106,-0.205,98.000
'0:03.480',-0.008,0.103,-0.201,98.000
'0:03.490',-0.006,0.100,-0.198,98.000
'0:03.500',-0.004,0.096,-0.194,98.000
'0:03.510',-0.004,0.094,-0.191,98.000
'0:03.520',-0.003,0.092,-0.187,98.000
'0:03.530',-0.002,0.089,-0.184,98.000
'0:03.540',-0.001,0.087,-0.181,98.000
'0:03.550',-0.000,0.084,-0.177,98.000
'0:03.560',-0.002,0.083,-0.174,98.000
'0:03.570',-0.004,0.082,-0.170,98.000
'0:03.580',-0.005,0.080,-0.167,98.000
'0:03.590',-0.007,0.079,-0.164,98.000
'0:03.600',-0.009,0.077,-0.160,98.000
'0:03.610',-0.006,0.075,-0.157,98.000
'0:03.620',-0.003,0.072,-0.153,98.000
'0:03.630',0.000,0.069,-0.150,98.000
'0:03.640',0.003,0.066,-0.147,98.000
'0:03.650',0.006,0.063,-0.143,98.000
'0:03.660',0.008,0.063,-0.140,98.000
'0:03.670',0.010,0.063,-0.137,98.000
'0:03.680',0.013,0.063,-0.134,98.000
'0:03.690',0.015,0.062,-0.130,98.000
'0:03.700',0.017,0.062,-0.127,98.000
'0:03.710',0.017,0.061,-0.124,98.000
'0:03.720',0.017,0.060,-0.121,98.000
'0:03.730',0.017,0.059,-0.118,98.000
'0:03.740',0.017,0.058,-0.115,98.000
'0:03.750',0.017,0.057,-0.112,98.000
'0:03.760',0.015,0.054,-0.109,98.000
'0:03.770',0.013,0.051,-0.106,98.000
'0:03.780',0.011,0.049,-0.103,98.000
'0:03.790',0.009,0.046,-0.100,98.000
'0:03.800',0.007,0.043,-0.097,98.000
'0:03.810',0.004,0.041,-0.094,98.000
'0:03.820',0.001,0.038,-0.091,98.000
'0:03.830',-0.003,0.035,-0.088,98.000
'0:03.840',-0.006,0.032,-0.084,98.000
'0:03.850',-0.009,0.030,-0.081,98.000
'0:03.860',-0.011,0.027,-0.078,98.000
'0:03.870',-0.013,0.024,-0.075,98.000
'0:03.880',-0.015,0.021,-0.072,98.000
'0:03.890',-0.016,0.018,-0.069,98.000
'0:03.900',-0.018,0.015,-0.066,98.000
'0:03.910',-0.022,0.011,-0.063,98.000
'0:03.920',-0.026,0.006,-0.060,98.000
'0:03.930',-0.030,0.001,-0.057,98.000
'0:03.940',-0.035,-0.004,-0.053,98.000
'0:03.950',-0.039,-0.009,-0.050,98.000
'0:03.960',-0.044,-0.014,-0.047,98.000
'0:03.970',-0.049,-0.019,-0.044,98.000
'0:03.980',-0.055,-0.024,-0.041,98.000
'0:03.990',-0.060,-0.029,-0.038,98.000
'0:04.000',-0.065,-0.034,-0.035,98.000
'0:04.010',-0.062,-0.032,-0.032,98.000
'0:04.020',-0.058,-0.030,-0.029,98.000
'0:04.030',-0.054,-0.029,-0.026,98.000
'0:04.040',-0.051,-0.027,-0.023,98.000
'0:04.050',-0.047,-0.026,-0.020,98.000
'0:04.060',-0.053,-0.031,-0.017,98.000
'0:04.070',-0.059,-0.036,-0.014,98.000
'0:04.080',-0.065,-0.041,-0.011,98.000
'0:04.090',-0.071,-0.046,-0.008,98.000
'0:04.100',-0.077,-0.051,-0.006,98.000
'0:04.110',-0.075,-0.051,-0.003,98.000
'0:04.120',-0.073,-0.050,0.000,98.000
'0:04.130',-0.071,-0.050,0.003,98.000
'0:04.140',-0.069,-0.049,0.006,98.000
'0:04.150',-0.067,-0.049,0.009,98.000
'0:04.160',-0.063,-0.047,0.012,98.000
'0:04.170',-0.060,-0.045,0.014,98.000
'0:04.180',-0.056,-0.044,0.017,98.000
'0:04.190',-0.053,-0.042,0.020,98.000
'0:04.200',-0.049,-0.040,0.023,98.000
'0:04.210',-0.058,-0.047,0.026,98.000
'0:04.220',-0.067,-0.054,0.028,98.000
'0:04.230',-0.076,-0.061,0.031,98.000
'0:04.240',-0.085,-0.068,0.034,98.000
'0:04.250',-0.094,-0.075,0.036,98.000
'0:04.260',-0.092,-0.074,0.039,98.000
'0:04.270',-0.089,-0.073,0.041,98.000
'0:04.280',-0.087,-0.072,0.044,98.000
'0:04.290',-0.085,-0.071,0.046,98.000
'0:04.300',-0.083,-0.071,0.049,98.000
'0:04.310',-0.081,-0.071,0.051,98.000
'0:04.320',-0.079,-0.071,0.054,98.000
'0:04.330',-0.077,-0.071,0.056,98.000
'0:04.340',-0.075,-0.071,0.059,98.000
'0:04.350',-0.072,-0.071,0.061,98.000
'0:04.360',-0.070,-0.070,0.064,98.000
'0:04.370',-0.068,-0.069,0.066,98.000
'0:04.380',-0.065,-0.068,0.068,98.000
'0:04.390',-0.063,-0.067,0.071,98.000
'0:04.400',-0.061,-0.066,0.073,98.000
'0:04.410',-0.060,-0.066,0.075,98.000
'0:04.420',-0.059,-0.067,0.077,98.000
'0:04.430',-0.058,-0.067,0.080,98.000
'0:04.440',-0.056,-0.067,0.082,98.000
'0:04.450',-0.055,-0.067,0.084,98.000
'0:04.460',-0.054,-0.070,0.086,98.000
'0:04.470',-0.053,-0.073,0.088,98.000
'0:04.480',-0.051,-0.075,0.090,98.000
'0:04.490',-0.050,-0.078,0.093,98.000
'0:04.500',-0.049,-0.081,0.095,98.000
'0:04.510',-0.049,-0.084,0.097,98.000
'0:04.520',-0.048,-0.087,0.099,98.000
'0:04.530',-0.048,-0.089,0.101,98.000
'0:04.540',-0.048,-0.092,0.103,98.000
'0:04.550',-0.048,-0.095,0.105,98.000
'0:04.560',-0.050,-0.099,0.106,98.000
'0:04.570',-0.053,-0.104,0.108,98.000
'0:04.580',-0.055,-0.108,0.110,98.000
'0:04.590',-0.058,-0.113,0.112,98.000
'0:04.600',-0.060,-0.117,0.114,98.000
'0:04.610',-0.061,-0.121,0.116,98.000
'0:04.620',-0.062,-0.125,0.118,98.000
'0:04.630',-0.063,-0.129,0.119,98.000
'0:04.640',-0.064,-0.133,0.121,98.000
'0:04.650',-0.065,-0.137,0.123,98.000
'0:04.660',-0.066,-0.142,0.124,98.000
'0:04.670',-0.067,-0.148,0.126,98.000
'0:04.680',-0.068,-0.154,0.128,98.000
'0:04.690',-0.070,-0.160,0.129,98.000
'0:04.700',-0.071,-0.165,0.131,98.000
'0:04.710',-0.075,-0.162,0.132,98.000
'0:04.720',-0.079,-0.160,0.134,98.000
'0:04.730',-0.083,-0.157,0.135,98.000
'0:04.740',-0.087,-0.154,0.137,98.000
'0:04.750',-0.091,-0.151,0.138,98.000
'0:04.760',-0.090,-0.157,0.139,98.000
'0:04.770',-0.088,-0.164,0.141,98.000
'0:04.780',-0.087,-0.170,0.142,98.000
'0:04.790',-0.085,-0.176,0.143,98.000
'0:04.800',-0.083,-0.182,0.145,98.000
'0:04.810',-0.084,-0.192,0.146,98.000
'0:04.820',-0.084,-0.201,0.148,98.000
'0:04.830',-0.085,-0.211,0.149,98.000
'0:04.840',-0.085,-0.220,0.150,98.000
'0:04.850',-0.085,-0.230,0.152,98.000
'0:04.860',-0.088,-0.231,0.153,98.000
'0:04.870',-0.091,-0.233,0.155,98.000
'0:04.880',-0.094,-0.234,0.156,98.000
'0:04.890',-0.097,-0.236,0.157,98.000
'0:04.900',-0.100,-0.237,0.159,98.000
'0:04.910',-0.092,-0.244,0.160,98.000
'0:04.920',-0.085,-0.251,0.162,98.000
'0:04.930',-0.077,-0.258,0.163,98.000
'0:04.940',-0.070,-0.265,0.164,98.000
'0:04.950',-0.062,-0.272,0.166,98.000
'0:04.960',-0.065,-0.273,0.167,98.000
'0:04.970',-0.069,-0.273,0.169,98.000
'0:04.980',-0.072,-0.274,0.170,98.000
'0:04.990',-0.075,-0.275,0.171,98.000
'0:05.000',-0.078,-0.276,0.173,98.000
'0:05.010',-0.079,-0.277,0.174,98.000
'0:05.020',-0.080,-0.279,0.176,98.000
'0:05.030',-0.080,-0.281,0.177,98.000
'0:05.040',-0.081,-0.282,0.179,98.000
'0:05.050',-0.082,-0.284,0.180,98.000
'0:05.060',-0.080,-0.286,0.182,98.000
'0:05.070',-0.078,-0.287,0.183,98.000
'0:05.080',-0.076,-0.289,0.185,98.000
'0:05.090',-0.074,-0.291,0.186,98.000
'0:05.100',-0.072,-0.293,0.188,98.000
'0:05.110',-0.073,-0.294,0.189,98.000
'0:05.120',-0.074,-0.295,0.191,98.000
'0:05.130',-0.075,-0.296,0.192,98.000
'0:05.140',-0.076,-0.297,0.194,98.000
'0:05.150',-0.078,-0.298,0.195,98.000
'0:05.160',-0.076,-0.300,0.196,98.000
'0:05.170',-0.074,-0.303,0.198,98.000
'0:05.180',-0.072,-0.306,0.199,98.000
'0:05.190',-0.070,-0.309,0.200,98.000
'0:05.200',-0.068,-0.312,0.201,98.000
'0:05.210',-0.069,-0.312,0.203,98.000
'0:05.220',-0.071,-0.313,0.204,98.000
'0:05.230',-0.073,-0.314,0.205,98.000
'0:05.240',-0.074,-0.315,0.207,98.000
'0:05.250',-0.076,-0.316,0.208,98.000
'0:05.260',-0.078,-0.317,0.209,98.000
'0:05.270',-0.080,-0.318,0.211,98.000
'0:05.280',-0.082,-0.318,0.212,98.000
'0:05.290',-0.084,-0.319,0.214,98.000
'0:05.300',-0.086,-0.320,0.215,98.000
'0:05.310',-0.084,-0.322,0.216,98.000
'0:05.320',-0.083,-0.324,0.218,98.000
'0:05.330',-0.081,-0.326,0.219,98.000
'0:05.340',-0.080,-0.327,0.220,98.000
'0:05.350',-0.078,-0.329,0.222,98.000
'0:05.360',-0.080,-0.328,0.223,98.000
'0:05.370',-0.081,-0.327,0.224,98.000
'0:05.380',-0.083,-0.326,0.225,98.000
'0:05.390',-0.085,-0.325,0.226,98.000
'0:05.400',-0.087,-0.324,0.228,98.000
'0:05.410',-0.095,-0.321,0.229,98.000
'0:05.420',-0.103,-0.319,0.230,98.000
'0:05.430',-0.112,-0.317,0.231,98.000
'0:05.440',-0.120,-0.314,0.232,98.000
'0:05.450',-0.128,-0.312,0.234,98.000
'0:05.460',-0.127,-0.315,0.235,98.000
'0:05.470',-0.127,-0.318,0.236,98.000
'0:05.480',-0.126,-0.321,0.237,98.000
'0:05.490',-0.125,-0.324,0.239,98.000
'0:05.500',-0.124,-0.327,0.240,98.000
'0:05.510',-0.120,-0.330,0.241,98.000
'0:05.520',-0.116,-0.333,0.242,98.000
'0:05.530',-0.111,-0.335,0.243,98.000
'0:05.540',-0.107,-0.338,0.245,98.000
