'Elapsed time','ECG'
'0:08.920',0.025
'0:08.930',0.010
'0:08.940',0.000
'0:08.950',-0.005
'0:08.960',-0.010
'0:08.970',-0.040
'0:08.980',-0.040
'0:08.990',-0.040
'0:09.000',-0.040
'0:09.010',-0.040
'0:09.020',-0.035
'0:09.030',-0.035
'0:09.040',-0.030
'0:09.050',-0.020
'0:09.060',-0.020
'0:09.070',-0.030
'0:09.080',-0.020
'0:09.090',-0.020
'0:09.100',-0.025
'0:09.110',-0.030
'0:09.120',-0.035
'0:09.130',-0.030
'0:09.140',-0.025
'0:09.150',-0.035
'0:09.160',-0.030
'0:09.170',-0.010
'0:09.180',-0.015
'0:09.190',-0.010
'0:09.200',-0.015
'0:09.210',-0.025
'0:09.220',0.020
'0:09.230',0.065
'0:09.240',0.090
'0:09.250',0.130
'0:09.260',0.200
'0:09.270',0.215
'0:09.280',0.200
'0:09.290',0.130
'0:09.300',0.050
'0:09.310',-0.010
'0:09.320',-0.030
'0:09.330',-0.060
'0:09.340',-0.055
'0:09.350',-0.060
'0:09.360',-0.225
'0:09.370',-0.350
'0:09.380',0.375
'0:09.390',2.130
'0:09.400',3.800
'0:09.410',3.030
'0:09.420',0.660
'0:09.430',-0.225
'0:09.440',-0.040
'0:09.450',-0.095
'0:09.460',-0.120
'0:09.470',-0.135
'0:09.480',-0.130
'0:09.490',-0.130
'0:09.500',-0.100
'0:09.510',-0.090
'0:09.520',-0.100
'0:09.530',-0.105
'0:09.540',-0.080
'0:09.550',-0.075
'0:09.560',-0.060
'0:09.570',-0.055
'0:09.580',-0.025
'0:09.590',0.000
'0:09.600',0.020
'0:09.610',0.055
'0:09.620',0.100
'0:09.630',0.140
'0:09.640',0.210
'0:09.650',0.260
'0:09.660',0.305
'0:09.670',0.345
'0:09.680',0.330
'0:09.690',0.285
'0:09.700',0.220
'0:09.710',0.140
'0:09.720',0.090
'0:09.730',0.060
'0:09.740',0.040
'0:09.750',0.025
'0:09.760',0.010
'0:09.770',-0.015
'0:09.780',-0.015
'0:09.790',-0.040
'0:09.800',-0.050
'0:09.810',-0.035
'0:09.820',-0.035
'0:09.830',-0.050
'0:09.840',-0.060
'0:09.850',-0.030
'0:09.860',-0.035
'0:09.870',-0.040
'0:09.880',-0.020
'0:09.890',-0.020
'0:09.900',-0.030
'0:09.910',-0.030
'0:09.920',-0.040
'0:09.930',-0.030
'0:09.940',-0.030
'0:09.950',-0.030
'0:09.960',-0.020
'0:09.970',-0.025
'0:09.980',-0.030
'0:09.990',-0.030
'0:10.000',-0.035
'0:10.010',-0.040
'0:10.020',-0.015
'0:10.030',-0.005
'0:10.040',0.015
'0:10.050',0.040
'0:10.060',0.070
'0:10.070',0.125
'0:10.080',0.205
'0:10.090',0.225
'0:10.100',0.200
'0:10.110',0.155
'0:10.120',0.055
'0:10.130',-0.020
'0:10.140',-0.035
'0:10.150',-0.050
'0:10.160',-0.030
'0:10.170',-0.050
'0:10.180',-0.255
'0:10.190',-0.315
'0:10.200',0.520
'0:10.210',2.330
'0:10.220',3.860
'0:10.230',2.760
'0:10.240',0.465
'0:10.250',-0.220
'0:10.260',-0.075
'0:10.270',-0.095
'0:10.280',-0.105
'0:10.290',-0.115
'0:10.300',-0.100
'0:10.310',-0.095
'0:10.320',-0.090
'0:10.330',-0.095
'0:10.340',-0.075
'0:10.350',-0.070
'0:10.360',-0.060
'0:10.370',-0.060
'0:10.380',-0.050
'0:10.390',-0.035
'0:10.400',0.005
'0:10.410',0.040
'0:10.420',0.045
'0:10.430',0.100
'0:10.440',0.150
'0:10.450',0.180
'0:10.460',0.215
'0:10.470',0.260
'0:10.480',0.315
'0:10.490',0.325
'0:10.500',0.345
'0:10.510',0.305
'0:10.520',0.240
'0:10.530',0.165
'0:10.540',0.120
'0:10.550',0.105
'0:10.560',0.065
'0:10.570',0.045
'0:10.580',0.045
'0:10.590',0.040
'0:10.600',0.040
'0:10.610',0.045
'0:10.620',0.025
'0:10.630',0.040
'0:10.640',0.030
'0:10.650',0.010
'0:10.660',0.030
'0:10.670',0.055
'0:10.680',0.020
'0:10.690',-0.035
'0:10.700',0.010
'0:10.710',0.040
'0:10.720',0.015
'0:10.730',0.005
'0:10.740',0.020
'0:10.750',0.010
'0:10.760',0.005
'0:10.770',0.010
'0:10.780',0.005
'0:10.790',0.000
'0:10.800',0.030
'0:10.810',-0.005
'0:10.820',-0.005
'0:10.830',0.000
'0:10.840',0.025
'0:10.850',0.070
'0:10.860',0.080
'0:10.870',0.095
'0:10.880',0.155
'0:10.890',0.200
'0:10.900',0.240
'0:10.910',0.200
'0:10.920',0.090
'0:10.930',0.045
'0:10.940',-0.005
'0:10.950',-0.040
'0:10.960',0.010
'0:10.970',-0.040
'0:10.980',-0.145
'0:10.990',-0.355
'0:11.000',-0.010
'0:11.010',1.480
'0:11.020',3.500
'0:11.030',3.940
'0:11.040',1.620
'0:11.050',-0.115
'0:11.060',-0.070
'0:11.070',-0.055
'0:11.080',-0.115
'0:11.090',-0.135
'0:11.100',-0.115
'0:11.110',-0.080
'0:11.120',-0.105
'0:11.130',-0.120
'0:11.140',-0.075
'0:11.150',-0.060
'0:11.160',-0.060
'0:11.170',-0.055
'0:11.180',-0.040
'0:11.190',-0.050
'0:11.200',-0.030
'0:11.210',0.010
'0:11.220',0.050
'0:11.230',0.055
'0:11.240',0.120
'0:11.250',0.165
'0:11.260',0.205
'0:11.270',0.260
'0:11.280',0.245
'0:11.290',0.315
'0:11.300',0.370
'0:11.310',0.305
'0:11.320',0.205
'0:11.330',0.125
'0:11.340',0.140
'0:11.350',0.095
'0:11.360',0.050
'0:11.370',0.015
'0:11.380',0.020
'0:11.390',0.040
'0:11.400',-0.005
'0:11.410',-0.020
'0:11.420',-0.040
'0:11.430',-0.040
'0:11.440',-0.010
'0:11.450',-0.025
'0:11.460',-0.055
'0:11.470',0.010
'0:11.480',0.055
'0:11.490',0.020
'0:11.500',0.040
'0:11.510',0.095
'0:11.520',0.060
'0:11.530',-0.030
'0:11.540',0.010
'0:11.550',0.010
'0:11.560',0.005
'0:11.570',-0.020
'0:11.580',-0.055
'0:11.590',0.015
'0:11.600',0.020
'0:11.610',-0.010
'0:11.620',0.050
'0:11.630',0.090
'0:11.640',0.060
'0:11.650',0.105
'0:11.660',0.215
'0:11.670',0.225
'0:11.680',0.200
'0:11.690',0.110
'0:11.700',0.005
'0:11.710',-0.035
'0:11.720',-0.020
'0:11.730',-0.050
'0:11.740',-0.035
'0:11.750',-0.165
'0:11.760',-0.400
'0:11.770',0.140
'0:11.780',1.815
'0:11.790',3.815
'0:11.800',3.890
'0:11.810',1.415
'0:11.820',0.010
'0:11.830',0.005
'0:11.840',-0.075
'0:11.850',0.025
'0:11.860',-0.015
'0:11.870',-0.030
'0:11.880',-0.005
'0:11.890',0.030
'0:11.900',0.025
'0:11.910',0.050
'0:11.920',0.060
'0:11.930',0.050
'0:11.940',0.100
'0:11.950',0.140
'0:11.960',0.180
'0:11.970',0.165
'0:11.980',0.175
'0:11.990',0.300
'0:12.000',0.325
'0:12.010',0.350
'0:12.020',0.460
'0:12.030',0.540
'0:12.040',0.645
'0:12.050',0.700
'0:12.060',0.740
'0:12.070',0.740
'0:12.080',0.660
'0:12.090',0.705
'0:12.100',0.680
'0:12.110',0.580
'0:12.120',0.665
'0:12.130',0.785
