'Elapsed time','Resp C','Resp A','Resp N','SpO2'
'0:01.740',-0.265,-0.216,0.410,92.000
'0:01.750',-0.266,-0.217,0.410,92.000
'0:01.760',-0.266,-0.217,0.410,92.000
'0:01.770',-0.267,-0.218,0.410,92.000
'0:01.780',-0.267,-0.218,0.410,92.000
'0:01.790',-0.268,-0.219,0.410,92.000
'0:01.800',-0.268,-0.220,0.410,92.000
'0:01.810',-0.268,-0.220,0.410,92.000
'0:01.820',-0.267,-0.220,0.409,92.000
'0:01.830',-0.267,-0.220,0.409,92.000
'0:01.840',-0.267,-0.220,0.409,92.000
'0:01.850',-0.266,-0.221,0.408,92.000
'0:01.860',-0.268,-0.221,0.408,92.000
'0:01.870',-0.269,-0.222,0.407,92.000
'0:01.880',-0.270,-0.223,0.407,92.000
'0:01.890',-0.271,-0.224,0.406,92.000
'0:01.900',-0.272,-0.225,0.405,92.000
'0:01.910',-0.274,-0.226,0.405,92.000
'0:01.920',-0.275,-0.226,0.404,92.000
'0:01.930',-0.277,-0.227,0.403,92.000
'0:01.940',-0.279,-0.227,0.402,92.000
'0:01.950',-0.281,-0.228,0.401,92.000
'0:01.960',-0.281,-0.228,0.400,92.000
'0:01.970',-0.281,-0.227,0.399,92.000
'0:01.980',-0.281,-0.227,0.398,92.000
'0:01.990',-0.281,-0.227,0.397,92.000
'0:02.000',-0.281,-0.227,0.397,92.000
'0:02.010',-0.280,-0.226,0.395,92.000
'0:02.020',-0.278,-0.226,0.394,92.000
'0:02.030',-0.276,-0.225,0.393,92.000
'0:02.040',-0.275,-0.225,0.392,92.000
'0:02.050',-0.273,-0.224,0.391,92.000
'0:02.060',-0.273,-0.224,0.390,92.000
'0:02.070',-0.273,-0.224,0.388,92.000
'0:02.080',-0.274,-0.224,0.387,92.000
'0:02.090',-0.274,-0.224,0.385,92.000
'0:02.100',-0.274,-0.225,0.384,92.000
'0:02.110',-0.276,-0.226,0.383,92.000
'0:02.120',-0.279,-0.227,0.381,92.000
'0:02.130',-0.281,-0.228,0.380,92.000
'0:02.140',-0.283,-0.229,0.378,92.000
'0:02.150',-0.285,-0.230,0.376,92.000
'0:02.160',-0.286,-0.230,0.375,92.000
'0:02.170',-0.286,-0.231,0.373,92.000
'0:02.180',-0.286,-0.231,0.372,92.000
'0:02.190',-0.286,-0.231,0.370,92.000
'0:02.200',-0.286,-0.231,0.369,92.000
'0:02.210',-0.286,-0.231,0.368,92.000
'0:02.220',-0.285,-0.230,0.366,92.000
'0:02.230',-0.284,-0.230,0.365,92.000
'0:02.240',-0.283,-0.230,0.363,92.000
'0:02.250',-0.283,-0.229,0.362,92.000
'0:02.260',-0.283,-0.229,0.361,92.000
'0:02.270',-0.283,-0.229,0.359,92.000
'0:02.280',-0.283,-0.229,0.358,92.000
'0:02.290',-0.284,-0.229,0.357,92.000
'0:02.300',-0.284,-0.229,0.355,92.000
'0:02.310',-0.283,-0.229,0.354,92.000
'0:02.320',-0.283,-0.229,0.352,92.000
'0:02.330',-0.282,-0.228,0.351,92.000
'0:02.340',-0.282,-0.228,0.349,92.000
'0:02.350',-0.281,-0.228,0.348,92.000
'0:02.360',-0.281,-0.228,0.346,92.000
'0:02.370',-0.280,-0.228,0.343,92.000
'0:02.380',-0.280,-0.228,0.341,92.000
'0:02.390',-0.279,-0.228,0.339,92.000
'0:02.400',-0.278,-0.229,0.336,92.000
'0:02.410',-0.278,-0.228,0.332,92.000
'0:02.420',-0.277,-0.228,0.327,92.000
'0:02.430',-0.277,-0.227,0.322,92.000
'0:02.440',-0.276,-0.227,0.317,92.000
'0:02.450',-0.275,-0.226,0.313,92.000
'0:02.460',-0.274,-0.225,0.305,92.000
'0:02.470',-0.273,-0.223,0.297,92.000
'0:02.480',-0.272,-0.222,0.289,92.000
'0:02.490',-0.270,-0.221,0.281,92.000
'0:02.500',-0.269,-0.219,0.273,92.000
'0:02.510',-0.268,-0.218,0.262,92.000
'0:02.520',-0.267,-0.216,0.251,92.000
'0:02.530',-0.266,-0.215,0.240,92.000
'0:02.540',-0.265,-0.214,0.230,92.000
'0:02.550',-0.264,-0.212,0.219,92.000
'0:02.560',-0.261,-0.211,0.206,92.000
'0:02.570',-0.259,-0.209,0.193,92.000
'0:02.580',-0.257,-0.208,0.179,92.000
'0:02.590',-0.255,-0.206,0.166,92.000
'0:02.600',-0.253,-0.205,0.153,92.000
'0:02.610',-0.251,-0.203,0.139,92.000
'0:02.620',-0.248,-0.202,0.125,92.000
'0:02.630',-0.246,-0.201,0.110,92.000
'0:02.640',-0.244,-0.200,0.096,92.000
'0:02.650',-0.242,-0.198,0.081,92.000
'0:02.660',-0.238,-0.196,0.067,92.000
'0:02.670',-0.235,-0.193,0.053,92.000
'0:02.680',-0.231,-0.190,0.038,92.000
'0:02.690',-0.228,-0.188,0.024,92.000
'0:02.700',-0.224,-0.185,0.010,92.000
'0:02.710',-0.222,-0.183,-0.004,92.000
'0:02.720',-0.220,-0.180,-0.018,92.000
'0:02.730',-0.217,-0.178,-0.031,92.000
'0:02.740',-0.215,-0.175,-0.045,92.000
'0:02.750',-0.213,-0.173,-0.059,92.000
'0:02.760',-0.212,-0.172,-0.071,92.000
'0:02.770',-0.212,-0.171,-0.083,92.000
'0:02.780',-0.211,-0.170,-0.096,92.000
'0:02.790',-0.211,-0.169,-0.108,92.000
'0:02.800',-0.210,-0.169,-0.121,92.000
'0:02.810',-0.208,-0.167,-0.131,92.000
'0:02.820',-0.206,-0.165,-0.142,92.000
'0:02.830',-0.204,-0.164,-0.153,92.000
'0:02.840',-0.201,-0.162,-0.163,92.000
'0:02.850',-0.199,-0.161,-0.174,92.000
'0:02.860',-0.195,-0.158,-0.183,92.000
'0:02.870',-0.192,-0.155,-0.193,92.000
'0:02.880',-0.188,-0.153,-0.202,92.000
'0:02.890',-0.184,-0.150,-0.211,92.000
'0:02.900',-0.180,-0.147,-0.221,92.000
'0:02.910',-0.176,-0.144,-0.229,92.000
'0:02.920',-0.172,-0.141,-0.237,92.000
'0:02.930',-0.168,-0.138,-0.245,92.000
'0:02.940',-0.164,-0.135,-0.253,92.000
'0:02.950',-0.160,-0.132,-0.261,92.000
'0:02.960',-0.157,-0.129,-0.268,92.000
'0:02.970',-0.153,-0.127,-0.275,92.000
'0:02.980',-0.150,-0.125,-0.282,92.000
'0:02.990',-0.147,-0.123,-0.289,92.000
'0:03.000',-0.144,-0.121,-0.296,92.000
'0:03.010',-0.141,-0.118,-0.302,92.000
'0:03.020',-0.138,-0.116,-0.308,92.000
'0:03.030',-0.134,-0.114,-0.314,92.000
'0:03.040',-0.131,-0.112,-0.320,92.000
'0:03.050',-0.128,-0.110,-0.326,92.000
'0:03.060',-0.125,-0.107,-0.331,92.000
'0:03.070',-0.122,-0.104,-0.336,92.000
'0:03.080',-0.119,-0.102,-0.341,92.000
'0:03.090',-0.116,-0.099,-0.346,92.000
'0:03.100',-0.113,-0.097,-0.351,92.000
'0:03.110',-0.110,-0.095,-0.356,92.000
'0:03.120',-0.108,-0.093,-0.360,92.000
'0:03.130',-0.106,-0.091,-0.364,92.000
'0:03.140',-0.104,-0.089,-0.369,92.000
'0:03.150',-0.102,-0.087,-0.373,92.000
'0:03.160',-0.099,-0.085,-0.377,92.000
'0:03.170',-0.096,-0.083,-0.380,92.000
'0:03.180',-0.093,-0.081,-0.384,92.000
'0:03.190',-0.090,-0.079,-0.388,92.000
'0:03.200',-0.087,-0.076,-0.392,92.000
'0:03.210',-0.084,-0.074,-0.395,92.000
'0:03.220',-0.080,-0.072,-0.398,92.000
'0:03.230',-0.077,-0.069,-0.401,92.000
'0:03.240',-0.074,-0.067,-0.405,92.000
'0:03.250',-0.071,-0.065,-0.408,92.000
'0:03.260',-0.068,-0.063,-0.411,92.000
'0:03.270',-0.065,-0.060,-0.414,92.000
'0:03.280',-0.062,-0.058,-0.417,92.000
'0:03.290',-0.059,-0.056,-0.419,92.000
'0:03.300',-0.056,-0.054,-0.422,92.000
'0:03.310',-0.054,-0.052,-0.425,92.000
'0:03.320',-0.051,-0.050,-0.427,92.000
'0:03.330',-0.049,-0.048,-0.430,92.000
'0:03.340',-0.047,-0.046,-0.432,92.000
'0:03.350',-0.044,-0.044,-0.434,92.000
'0:03.360',-0.042,-0.043,-0.436,92.000
'0:03.370',-0.040,-0.041,-0.439,92.000
'0:03.380',-0.038,-0.039,-0.441,92.000
'0:03.390',-0.036,-0.038,-0.443,92.000
'0:03.400',-0.033,-0.036,-0.445,92.000
'0:03.410',-0.032,-0.035,-0.447,92.000
'0:03.420',-0.030,-0.034,-0.449,92.000
'0:03.430',-0.029,-0.033,-0.451,92.000
'0:03.440',-0.027,-0.032,-0.453,92.000
'0:03.450',-0.025,-0.031,-0.455,92.000
'0:03.460',-0.023,-0.029,-0.456,92.000
'0:03.470',-0.021,-0.027,-0.458,92.000
'0:03.480',-0.018,-0.025,-0.459,92.000
'0:03.490',-0.016,-0.024,-0.461,92.000
'0:03.500',-0.014,-0.022,-0.462,92.000
'0:03.510',-0.011,-0.020,-0.464,92.000
'0:03.520',-0.009,-0.018,-0.465,92.000
'0:03.530',-0.007,-0.016,-0.466,92.000
'0:03.540',-0.004,-0.014,-0.468,92.000
'0:03.550',-0.002,-0.012,-0.469,92.000
'0:03.560',-0.000,-0.011,-0.470,92.000
'0:03.570',0.001,-0.009,-0.471,92.000
'0:03.580',0.002,-0.008,-0.472,92.000
'0:03.590',0.004,-0.007,-0.473,92.000
'0:03.600',0.005,-0.005,-0.474,92.000
'0:03.610',0.007,-0.004,-0.475,92.000
'0:03.620',0.010,-0.002,-0.476,92.000
'0:03.630',0.012,-0.000,-0.477,92.000
'0:03.640',0.015,0.002,-0.478,92.000
'0:03.650',0.017,0.003,-0.479,92.000
'0:03.660',0.020,0.005,-0.480,92.000
'0:03.670',0.022,0.006,-0.481,92.000
'0:03.680',0.024,0.008,-0.481,92.000
'0:03.690',0.027,0.009,-0.482,92.000
'0:03.700',0.029,0.011,-0.483,92.000
'0:03.710',0.030,0.012,-0.483,92.000
'0:03.720',0.031,0.012,-0.484,92.000
'0:03.730',0.032,0.013,-0.484,92.000
'0:03.740',0.033,0.014,-0.485,92.000
'0:03.750',0.033,0.014,-0.486,92.000
'0:03.760',0.034,0.015,-0.486,92.000
'0:03.770',0.035,0.015,-0.486,92.000
'0:03.780',0.035,0.015,-0.487,92.000
'0:03.790',0.036,0.016,-0.487,92.000
'0:03.800',0.036,0.016,-0.488,92.000
'0:03.810',0.036,0.016,-0.488,92.000
'0:03.820',0.036,0.016,-0.488,92.000
'0:03.830',0.037,0.016,-0.488,92.000
'0:03.840',0.037,0.016,-0.488,92.000
'0:03.850',0.037,0.016,-0.488,92.000
'0:03.860',0.038,0.016,-0.486,92.000
'0:03.870',0.038,0.016,-0.485,92.000
'0:03.880',0.039,0.017,-0.483,92.000
'0:03.890',0.040,0.017,-0.482,92.000
'0:03.900',0.041,0.017,-0.480,92.000
'0:03.910',0.040,0.016,-0.475,92.000
'0:03.920',0.040,0.016,-0.471,92.000
'0:03.930',0.039,0.015,-0.466,92.000
'0:03.940',0.039,0.015,-0.461,92.000
'0:03.950',0.038,0.014,-0.456,93.000
'0:03.960',0.035,0.012,-0.448,93.000
'0:03.970',0.033,0.011,-0.440,93.000
'0:03.980',0.031,0.009,-0.432,93.000
'0:03.990',0.028,0.007,-0.424,93.000
'0:04.000',0.026,0.005,-0.416,93.000
'0:04.010',0.024,0.004,-0.406,93.000
'0:04.020',0.022,0.003,-0.395,93.000
'0:04.030',0.020,0.002,-0.385,93.000
'0:04.040',0.018,0.001,-0.375,93.000
'0:04.050',0.017,-0.000,-0.365,93.000
'0:04.060',0.015,-0.001,-0.353,93.000
'0:04.070',0.013,-0.003,-0.342,93.000
'0:04.080',0.011,-0.004,-0.330,93.000
'0:04.090',0.009,-0.005,-0.319,93.000
'0:04.100',0.008,-0.006,-0.307,93.000
'0:04.110',0.007,-0.007,-0.295,93.000
'0:04.120',0.005,-0.008,-0.283,93.000
'0:04.130',0.004,-0.009,-0.271,93.000
'0:04.140',0.003,-0.010,-0.260,93.000
'0:04.150',0.002,-0.012,-0.248,93.000
'0:04.160',0.002,-0.012,-0.236,93.000
'0:04.170',0.001,-0.012,-0.224,93.000
'0:04.180',0.001,-0.012,-0.212,93.000
'0:04.190',0.001,-0.013,-0.200,93.000
'0:04.200',0.000,-0.013,-0.188,93.000
'0:04.210',-0.002,-0.014,-0.176,93.000
'0:04.220',-0.004,-0.016,-0.165,93.000
'0:04.230',-0.005,-0.017,-0.154,93.000
'0:04.240',-0.007,-0.018,-0.142,93.000
'0:04.250',-0.009,-0.019,-0.131,93.000
'0:04.260',-0.012,-0.021,-0.120,93.000
'0:04.270',-0.014,-0.023,-0.109,93.000
'0:04.280',-0.017,-0.025,-0.097,93.000
'0:04.290',-0.019,-0.027,-0.086,93.000
'0:04.300',-0.021,-0.029,-0.075,93.000
'0:04.310',-0.024,-0.031,-0.065,93.000
'0:04.320',-0.026,-0.033,-0.054,93.000
'0:04.330',-0.028,-0.034,-0.044,93.000
'0:04.340',-0.030,-0.036,-0.034,93.000
'0:04.350',-0.033,-0.038,-0.023,93.000
'0:04.360',-0.035,-0.039,-0.014,93.000
'0:04.370',-0.038,-0.041,-0.004,93.000
'0:04.380',-0.040,-0.043,0.005,93.000
'0:04.390',-0.043,-0.045,0.015,93.000
'0:04.400',-0.046,-0.047,0.024,93.000
'0:04.410',-0.049,-0.048,0.033,93.000
'0:04.420',-0.051,-0.050,0.043,93.000
'0:04.430',-0.054,-0.052,0.052,93.000
'0:04.440',-0.057,-0.053,0.061,93.000
'0:04.450',-0.059,-0.055,0.070,93.000
'0:04.460',-0.061,-0.057,0.079,93.000
'0:04.470',-0.063,-0.058,0.087,93.000
'0:04.480',-0.065,-0.060,0.096,93.000
'0:04.490',-0.066,-0.061,0.104,93.000
'0:04.500',-0.068,-0.063,0.113,93.000
'0:04.510',-0.069,-0.064,0.120,93.000
'0:04.520',-0.070,-0.065,0.128,93.000
'0:04.530',-0.071,-0.066,0.136,93.000
'0:04.540',-0.071,-0.066,0.143,93.000
'0:04.550',-0.072,-0.067,0.151,93.000
'0:04.560',-0.073,-0.068,0.158,93.000
'0:04.570',-0.074,-0.068,0.165,93.000
'0:04.580',-0.075,-0.068,0.172,93.000
'0:04.590',-0.076,-0.069,0.180,93.000
'0:04.600',-0.077,-0.069,0.187,93.000
'0:04.610',-0.079,-0.071,0.193,93.000
'0:04.620',-0.081,-0.072,0.200,93.000
'0:04.630',-0.083,-0.074,0.207,93.000
'0:04.640',-0.084,-0.075,0.213,93.000
'0:04.650',-0.086,-0.077,0.220,93.000
'0:04.660',-0.088,-0.079,0.226,93.000
'0:04.670',-0.091,-0.081,0.232,93.000
'0:04.680',-0.093,-0.083,0.238,93.000
'0:04.690',-0.095,-0.085,0.244,93.000
'0:04.700',-0.097,-0.087,0.251,93.000
'0:04.710',-0.099,-0.088,0.256,93.000
'0:04.720',-0.101,-0.089,0.262,93.000
'0:04.730',-0.103,-0.091,0.268,93.000
'0:04.740',-0.105,-0.092,0.273,93.000
'0:04.750',-0.107,-0.093,0.279,93.000
'0:04.760',-0.109,-0.095,0.284,93.000
'0:04.770',-0.111,-0.096,0.290,93.000
'0:04.780',-0.113,-0.098,0.295,93.000
'0:04.790',-0.115,-0.099,0.300,93.000
'0:04.800',-0.117,-0.101,0.305,93.000
'0:04.810',-0.118,-0.102,0.310,93.000
'0:04.820',-0.120,-0.103,0.315,93.000
'0:04.830',-0.121,-0.104,0.319,93.000
'0:04.840',-0.123,-0.105,0.324,93.000
'0:04.850',-0.124,-0.107,0.329,93.000
'0:04.860',-0.126,-0.108,0.333,93.000
'0:04.870',-0.127,-0.109,0.337,93.000
'0:04.880',-0.129,-0.110,0.341,93.000
'0:04.890',-0.130,-0.111,0.345,93.000
'0:04.900',-0.132,-0.112,0.349,93.000
'0:04.910',-0.135,-0.114,0.353,93.000
'0:04.920',-0.137,-0.116,0.357,93.000
'0:04.930',-0.140,-0.117,0.361,93.000
'0:04.940',-0.142,-0.119,0.365,93.000
'0:04.950',-0.145,-0.121,0.369,93.000
'0:04.960',-0.146,-0.122,0.372,93.000
'0:04.970',-0.148,-0.124,0.375,93.000
'0:04.980',-0.150,-0.126,0.379,93.000
'0:04.990',-0.152,-0.127,0.382,93.000
'0:05.000',-0.154,-0.129,0.386,93.000
'0:05.010',-0.156,-0.130,0.388,93.000
'0:05.020',-0.158,-0.131,0.391,93.000
'0:05.030',-0.159,-0.132,0.394,93.000
'0:05.040',-0.161,-0.132,0.397,93.000
'0:05.050',-0.162,-0.133,0.400,93.000
'0:05.060',-0.164,-0.135,0.402,93.000
'0:05.070',-0.166,-0.136,0.405,93.000
'0:05.080',-0.168,-0.138,0.408,93.000
'0:05.090',-0.170,-0.139,0.410,93.000
'0:05.100',-0.171,-0.140,0.413,93.000
'0:05.110',-0.172,-0.141,0.415,93.000
'0:05.120',-0.173,-0.142,0.418,93.000
'0:05.130',-0.174,-0.143,0.420,93.000
'0:05.140',-0.174,-0.144,0.423,93.000
'0:05.150',-0.175,-0.145,0.425,93.000
'0:05.160',-0.176,-0.145,0.427,93.000
'0:05.170',-0.177,-0.146,0.429,93.000
'0:05.180',-0.177,-0.146,0.431,93.000
'0:05.190',-0.178,-0.147,0.433,93.000
'0:05.200',-0.179,-0.147,0.435,93.000
'0:05.210',-0.181,-0.148,0.437,93.000
'0:05.220',-0.182,-0.149,0.438,93.000
'0:05.230',-0.184,-0.150,0.440,93.000
'0:05.240',-0.186,-0.151,0.442,93.000
'0:05.250',-0.187,-0.152,0.444,93.000
'0:05.260',-0.190,-0.154,0.445,93.000
'0:05.270',-0.194,-0.156,0.447,93.000
'0:05.280',-0.197,-0.158,0.448,93.000
'0:05.290',-0.200,-0.160,0.450,93.000
'0:05.300',-0.203,-0.162,0.451,93.000
'0:05.310',-0.206,-0.163,0.452,93.000
'0:05.320',-0.208,-0.165,0.454,93.000
'0:05.330',-0.210,-0.166,0.455,93.000
'0:05.340',-0.213,-0.168,0.456,93.000
'0:05.350',-0.215,-0.169,0.458,93.000
'0:05.360',-0.215,-0.169,0.459,93.000
'0:05.370',-0.216,-0.170,0.460,93.000
'0:05.380',-0.216,-0.170,0.461,93.000
'0:05.390',-0.216,-0.170,0.462,93.000
'0:05.400',-0.217,-0.171,0.463,93.000
'0:05.410',-0.218,-0.171,0.464,93.000
'0:05.420',-0.219,-0.172,0.465,93.000
'0:05.430',-0.221,-0.173,0.466,93.000
'0:05.440',-0.222,-0.174,0.467,93.000
'0:05.450',-0.223,-0.175,0.468,93.000
'0:05.460',-0.224,-0.175,0.469,93.000
'0:05.470',-0.225,-0.176,0.470,93.000
'0:05.480',-0.225,-0.177,0.470,93.000
'0:05.490',-0.226,-0.178,0.471,93.000
'0:05.500',-0.227,-0.178,0.472,93.000
